,LAD20CD,LAD20NM,1981,1991,2001,2011,2021
171,E08000035,Leeds,1262.83403844832,1233.84762229641,1296.71435927821,1362.10961367697,1472
172,E06000016,Leicester,3766.52700154481,3688.10001349838,3816.6755519681,4497.26691763666,5026
174,E07000063,Lewes,262.794113116084,299.167770714156,315.57271821627,333.788645941384,342
175,E09000023,Lewisham,6557.99647756081,6572.08054378722,7082.52124702314,7849.66184014727,8553
176,E07000194,Lichfield,266.029247702345,279.748163566906,281.402281475328,303.820408675788,321
177,E07000138,Lincoln,2118.70485455391,2297.18522171352,2398.36145496522,2620.91554544384,2911
179,E08000012,Liverpool,4504.12524802008,4045.66699184607,3929.59493256625,4170.53767267518,4347
181,E06000032,Luton,3764.69638429156,3959.8869730696,4252.85739000057,4687.18067008823,5197
182,E07000110,Maidstone,328.625320151506,346.297530771917,353.261159730241,394.435300285206,447
183,E07000074,Maldon,133.009814829254,147.682172693931,166.074322619158,172.236712922322,185
184,E07000235,Malvern Hills,112.221892973308,118.968029930459,125.071265060971,129.327240495536,138
185,E08000003,Manchester,3784.42435483382,3500.78902882441,3396.63722400204,4350.48444208096,4773
186,E07000174,Mansfield,1295.45967187807,1308.86304697309,1280.08751308719,1362.05932166926,1441
187,E06000035,Medway,1215.0580597602,1240.1155929715,1287.89732502831,1362.44529311738,1444
188,E07000133,Melton,89.1394460017707,93.7137890475852,99.4265244590247,104.649003304246,108
189,E07000187,Mendip,116.551055967551,129.2918544901,140.470650858573,147.787041900606,157
192,E09000024,Merton,4388.19799011803,4477.71508155676,4994.0596585699,5307.58210827634,5720
193,E07000042,Mid Devon,62.993707858916,70.3888166588107,76.4321902699822,85.1680801646882,91
194,E07000203,Mid Suffolk,79.6054877756177,89.9846694401119,99.6865236870582,111.048404113283,118
195,E07000228,Mid Sussex,352.480949281709,362.821356443474,381.343678131326,418.705658843203,457
196,E06000002,Middlesbrough,2769.03432711723,2614.04635348616,2502.95091459793,2568.81755552916,2671
197,E06000042,Milton Keynes,399.498811995203,571.337476634393,670.865482474458,806.219941437341,930
198,E07000210,Mole Valley,294.315872764555,306.67258694702,310.795362825568,330.499521719286,338
201,E07000091,New Forest,190.448929863965,213.322584067492,225.123023167202,234.602195179475,234
202,E07000175,Newark and Sherwood,153.620111140025,157.803790797593,163.157365463993,176.27799898824,189
203,E08000021,Newcastle upon Tyne,2405.55655941085,2287.68240173113,2287.55018664363,2469.57510478045,2646
204,E07000195,Newcastle-under-Lyme,555.642987636366,564.52629772646,578.453280140919,587.184900837799,584
205,E09000025,Newham,5777.67095168237,5861.71361949833,6737.91783047251,8508.80900875513,9700
208,E07000043,North Devon,70.5051374790782,78.092444694111,80.5825622702063,86.2580780325861,91
210,E07000038,North East Derbyshire,349.74896906431,353.997519804196,351.697279693959,359.269205735071,370
211,E06000012,North East Lincolnshire,829.94285726152,828.88379315232,820.110173816301,828.644984578676,815
212,E07000099,North Hertfordshire,284.083870807904,298.346671298391,311.450652548429,338.625629725018,355
213,E07000139,North Kesteven,84.7961340369071,86.6606906903228,101.930542446144,116.823146693019,128
214,E06000013,North Lincolnshire,175.946774405607,179.893427375737,180.551399750584,197.800434970534,200
215,E07000147,North Norfolk,82.9106998479244,93.6481266958395,101.84302362296,105.07501809068,107
217,E06000024,North Somerset,429.030789079527,474.842233860442,504.51452229756,541.983478769464,580
