,Unnamed: 0,area label,area long label,area,doctors
150,194,Manchester,Manchester (Metropolitan borough),E08000003,0.166
151,195,Mansfield,Mansfield (District),E07000174,0.101
152,196,Medway,Medway (Unitary),E06000035,0.147
153,197,Melton,Melton (District),E07000133,0.117
154,198,Mendip,Mendip (District),E07000187,0.095
155,200,Merton,Merton (London borough),E09000024,0.155
156,201,Mid Devon,Mid Devon (District),E07000042,0.108
157,202,Mid Suffolk,Mid Suffolk (District),E07000203,0.095
158,203,Mid Sussex,Mid Sussex (District),E07000228,0.099
159,204,Middlesbrough,Middlesbrough (Unitary),E06000002,0.092
160,205,Milton Keynes,Milton Keynes (Unitary),E06000042,0.152
161,206,Mole Valley,Mole Valley (District),E07000210,0.148
162,207,New Forest,New Forest (District),E07000091,0.083
163,208,Newark and Sherwood,Newark and Sherwood (District),E07000175,0.106
164,209,Newcastle upon Tyne,Newcastle upon Tyne (Metropolitan borough),E08000021,0.127
165,210,Newcastle-under-Lyme,Newcastle-under-Lyme (District),E07000195,0.147
166,211,Newham,Newham (London borough),E09000025,0.121
167,214,North Devon,North Devon (District),E07000043,0.163
168,215,North East Derbyshire,North East Derbyshire (District),E07000038,0.137
169,216,North East Lincolnshire,North East Lincolnshire (Unitary),E06000012,0.107
170,217,North Hertfordshire,North Hertfordshire (District),E07000099,0.105
171,218,North Kesteven,North Kesteven (District),E07000139,0.118
172,219,North Lincolnshire,North Lincolnshire (Unitary),E06000013,0.104
173,220,North Norfolk,North Norfolk (District),E07000147,0.124
174,222,North Somerset,North Somerset (Unitary),E06000024,0.074
175,223,North Tyneside,North Tyneside (Metropolitan borough),E08000022,0.12
176,224,North Warwickshire,North Warwickshire (District),E07000218,0.107
177,225,North West Leicestershire,North West Leicestershire (District),E07000134,0.114
178,229,Northumberland,Northumberland (Unitary),E06000057,0.108
179,231,Norwich,Norwich (District),E07000148,0.162
180,232,Nottingham,Nottingham (Unitary),E06000018,0.133
181,235,Nuneaton and Bedworth,Nuneaton and Bedworth (District),E07000219,0.138
182,236,Oadby and Wigston,Oadby and Wigston (District),E07000135,0.122
183,237,Oldham,Oldham (Metropolitan borough),E08000004,0.105
184,238,Oxford,Oxford (District),E07000178,0.132
185,241,Pendle,Pendle (District),E07000122,0.076
186,242,Plymouth,Plymouth (Unitary),E06000026,0.107
187,243,Portsmouth,Portsmouth (Unitary),E06000044,0.088
188,244,Preston,Preston (District),E07000123,0.111
189,245,Reading,Reading (Unitary),E06000038,0.125
190,246,Redbridge,Redbridge (London borough),E09000026,0.15
191,247,Redcar and Cleveland,Redcar and Cleveland (Unitary),E06000003,0.08
192,248,Redditch,Redditch (District),E07000236,0.082
193,249,Reigate and Banstead,Reigate and Banstead (District),E07000211,0.094
194,250,Ribble Valley,Ribble Valley (District),E07000124,0.129
195,251,Richmond upon Thames,Richmond upon Thames (London borough),E09000027,0.187
196,253,Rochdale,Rochdale (Metropolitan borough),E08000005,0.152
197,254,Rochford,Rochford (District),E07000075,0.114
198,255,Rossendale,Rossendale (District),E07000125,0.112
199,256,Rother,Rother (District),E07000064,0.134
200,257,Rotherham,Rotherham (Metropolitan borough),E08000018,0.117
201,259,Rugby,Rugby (District),E07000220,0.108
202,260,Runnymede,Runnymede (District),E07000212,0.111
203,261,Rushcliffe,Rushcliffe (District),E07000176,0.107
204,262,Rushmoor,Rushmoor (District),E07000092,0.095
205,263,Rutland,Rutland (Unitary),E06000017,0.124
206,264,Ryedale,Ryedale (District),E07000167,0.126
207,265,Salford,Salford (Metropolitan borough),E08000006,0.148
208,266,Sandwell,Sandwell (Metropolitan borough),E08000028,0.134
209,267,Scarborough,Scarborough (District),E07000168,0.129
210,268,Sedgemoor,Sedgemoor (District),E07000188,0.13
211,269,Sefton,Sefton (Metropolitan borough),E08000014,0.156
212,270,Selby,Selby (District),E07000169,0.076
213,271,Sevenoaks,Sevenoaks (District),E07000111,0.091
214,272,Sheffield,Sheffield (Metropolitan borough),E08000019,0.153
215,273,Shropshire,Shropshire (Unitary),E06000051,0.132
216,275,Slough,Slough (Unitary),E06000039,0.114
217,276,Solihull,Solihull (Metropolitan borough),E08000029,0.115
218,278,Somerset West and Taunton,Somerset West and Taunton (District),E07000246,0.135
219,279,South Cambridgeshire,South Cambridgeshire (District),E07000012,0.112
220,280,South Derbyshire,South Derbyshire (District),E07000039,0.073
221,281,South Gloucestershire,South Gloucestershire (Unitary),E06000025,0.083
222,282,South Hams,South Hams (District),E07000044,0.114
223,283,South Holland,South Holland (District),E07000140,0.104
224,284,South Kesteven,South Kesteven (District),E07000141,0.112
225,285,South Lakeland,South Lakeland (District),E07000031,0.153
226,286,South Norfolk,South Norfolk (District),E07000149,0.105
227,287,South Oxfordshire,South Oxfordshire (District),E07000179,0.104
228,288,South Ribble,South Ribble (District),E07000126,0.144
229,289,South Somerset,South Somerset (District),E07000189,0.124
230,290,South Staffordshire,South Staffordshire (District),E07000196,0.116
231,291,South Tyneside,South Tyneside (Metropolitan borough),E08000023,0.119
232,295,Southwark,Southwark (London borough),E09000028,0.112
233,296,Spelthorne,Spelthorne (District),E07000213,0.11
234,297,St Albans,St Albans (District),E07000240,0.1
235,298,St. Helens,St. Helens (Metropolitan borough),E08000013,0.138
236,299,Stafford,Stafford (District),E07000197,0.102
237,301,Staffordshire Moorlands,Staffordshire Moorlands (District),E07000198,0.122
238,303,Stockport,Stockport (Metropolitan borough),E08000007,0.126
239,304,Stockton-on-Tees,Stockton-on-Tees (Unitary),E06000004,0.096
240,305,Stoke-on-Trent,Stoke-on-Trent (Unitary),E06000021,0.148
241,307,Stratford-on-Avon,Stratford-on-Avon (District),E07000221,0.121
242,308,Stroud,Stroud (District),E07000082,0.108
243,311,Sunderland,Sunderland (Metropolitan borough),E08000024,0.126
244,314,Surrey Heath,Surrey Heath (District),E07000214,0.146
245,315,Sutton,Sutton (London borough),E09000029,0.12
246,316,Swale,Swale (District),E07000113,0.079
247,317,Swindon,Swindon (Unitary),E06000030,0.099
248,318,Tameside,Tameside (Metropolitan borough),E08000008,0.119
249,319,Tamworth,Tamworth (District),E07000199,0.091
250,320,Tandridge,Tandridge (District),E07000215,0.102
251,321,Teignbridge,Teignbridge (District),E07000045,0.111
