LAD20NM,area long label,LAD20CD,doctors
South Derbyshire,South Derbyshire (District),E07000039,0.073
South Gloucestershire,South Gloucestershire (Unitary),E06000025,0.083
South Hams,South Hams (District),E07000044,0.114
South Holland,South Holland (District),E07000140,0.104
South Kesteven,South Kesteven (District),E07000141,0.112
South Lakeland,South Lakeland (District),E07000031,0.153
South Norfolk,South Norfolk (District),E07000149,0.105
South Oxfordshire,South Oxfordshire (District),E07000179,0.104
South Ribble,South Ribble (District),E07000126,0.144
South Somerset,South Somerset (District),E07000189,0.124
South Staffordshire,South Staffordshire (District),E07000196,0.116
South Tyneside,South Tyneside (Metropolitan borough),E08000023,0.119
Southwark,Southwark (London borough),E09000028,0.112
Spelthorne,Spelthorne (District),E07000213,0.11
St Albans,St Albans (District),E07000240,0.1
St. Helens,St. Helens (Metropolitan borough),E08000013,0.138
Stafford,Stafford (District),E07000197,0.102
Staffordshire Moorlands,Staffordshire Moorlands (District),E07000198,0.122
Stockport,Stockport (Metropolitan borough),E08000007,0.126
Stockton-on-Tees,Stockton-on-Tees (Unitary),E06000004,0.096
Stoke-on-Trent,Stoke-on-Trent (Unitary),E06000021,0.148
Stratford-on-Avon,Stratford-on-Avon (District),E07000221,0.121
Stroud,Stroud (District),E07000082,0.108
Sunderland,Sunderland (Metropolitan borough),E08000024,0.126
Surrey Heath,Surrey Heath (District),E07000214,0.146
Sutton,Sutton (London borough),E09000029,0.12
Swale,Swale (District),E07000113,0.079
Swindon,Swindon (Unitary),E06000030,0.099
Tameside,Tameside (Metropolitan borough),E08000008,0.119
Tamworth,Tamworth (District),E07000199,0.091
Tandridge,Tandridge (District),E07000215,0.102
Teignbridge,Teignbridge (District),E07000045,0.111
Telford and Wrekin,Telford and Wrekin (Unitary),E06000020,0.077
Tendring,Tendring (District),E07000076,0.109
Test Valley,Test Valley (District),E07000093,0.102
Tewkesbury,Tewkesbury (District),E07000083,0.083
Thanet,Thanet (District),E07000114,0.099
Three Rivers,Three Rivers (District),E07000102,0.096
Torbay,Torbay (Unitary),E06000027,0.088
Torridge,Torridge (District),E07000046,0.146
Tower Hamlets,Tower Hamlets (London borough),E09000030,0.133
Trafford,Trafford (Metropolitan borough),E08000009,0.122
Tunbridge Wells,Tunbridge Wells (District),E07000116,0.177
Uttlesford,Uttlesford (District),E07000077,0.097
Vale of White Horse,Vale of White Horse (District),E07000180,0.065
Wakefield,Wakefield (Metropolitan borough),E08000036,0.102
Walsall,Walsall (Metropolitan borough),E08000030,0.143
Waltham Forest,Waltham Forest (London borough),E09000031,0.141
Wandsworth,Wandsworth (London borough),E09000032,0.14
Warrington,Warrington (Unitary),E06000007,0.129
Warwick,Warwick (District),E07000222,0.145
Watford,Watford (District),E07000103,0.072
Waverley,Waverley (District),E07000216,0.126
Wealden,Wealden (District),E07000065,0.129
Welwyn Hatfield,Welwyn Hatfield (District),E07000241,0.073
West Berkshire,West Berkshire (Unitary),E06000037,0.082
West Devon,West Devon (District),E07000047,0.089
West Lancashire,West Lancashire (District),E07000127,0.122
West Lindsey,West Lindsey (District),E07000142,0.104
West Oxfordshire,West Oxfordshire (District),E07000181,0.116
West Suffolk,West Suffolk (District),E07000245,0.102
Westminster,Westminster (London borough),E09000033,0.334
Wigan,Wigan (Metropolitan borough),E08000010,0.124
Wiltshire,Wiltshire (Unitary),E06000054,0.101
Winchester,Winchester (District),E07000094,0.151
Windsor and Maidenhead,Windsor and Maidenhead (Unitary),E06000040,0.172
Wirral,Wirral (Metropolitan borough),E08000015,0.148
Woking,Woking (District),E07000217,0.1
Wokingham,Wokingham (Unitary),E06000041,0.098
Wolverhampton,Wolverhampton (Metropolitan borough),E08000031,0.136
Worthing,Worthing (District),E07000229,0.108
Wychavon,Wychavon (District),E07000238,0.092
Wyre,Wyre (District),E07000128,0.088
Wyre Forest,Wyre Forest (District),E07000239,0.069
York,York (Unitary),E06000014,0.076
