FID,LAD20CD,LAD20NM,original,alpha,delta,color
140,E07000011,Huntingdonshire,4.234807124,2.267087044,3.243829061,1.4
141,W06000001,Isle of Anglesey,4.236550063,2.268101158,3.208886259,1.41
142,E07000012,South Cambridgeshire,4.245867842,2.251296551,3.225239144,1.42
143,W06000002,Gwynedd,4.236973383,2.254856769,3.234921261,1.43
144,E07000026,Allerdale,4.258852719,2.269226182,3.279201081,1.44
145,W06000003,Conwy,4.248112536,2.263343167,3.237747923,1.45
146,E07000027,Barrow-in-Furness,4.287725764,2.260365553,3.283320545,1.46
147,W06000004,Denbighshire,4.252892232,2.24194517,3.273474924,1.47
148,E07000028,Carlisle,4.270128047,2.247258581,3.258114996,1.48
149,W06000005,Flintshire,4.271823281,2.256901105,3.221783198,1.49
150,E07000029,Copeland,4.258736515,2.25381585,3.299596604,1.5
151,W06000006,Wrexham,4.272796989,2.256033775,3.229653522,1.51
152,E07000030,Eden,4.263273763,2.257410732,3.202881577,1.52
153,W06000008,Ceredigion,4.273521882,2.219661803,3.193925764,1.53
154,E07000031,South Lakeland,4.265672897,2.243527921,3.219921959,1.54
155,W06000009,Pembrokeshire,4.240676905,2.232635482,3.230700143,1.55
156,E07000032,Amber Valley,4.298621717,2.264171157,3.259962205,1.56
157,W06000010,Carmarthenshire,4.272202825,2.250711614,3.258930287,1.57
158,E07000033,Bolsover,4.29920741,2.272389516,3.262986296,1.58
159,W06000011,Swansea,4.29883455,2.262331708,3.264413125,1.59
160,E07000034,Chesterfield,4.283080187,2.268723894,3.246382018,1.6
161,W06000012,Neath Port Talbot,4.295080398,2.250059262,3.287289832,1.61
162,E07000035,Derbyshire Dales,4.269322936,2.267769336,3.232823203,1.62
163,W06000013,Bridgend,4.305724314,2.233408979,3.236357043,1.63
164,E07000036,Erewash,4.292967363,2.273586207,3.263858357,1.64
165,W06000014,Vale of Glamorgan,4.254532573,2.25544857,3.258588429,1.65
166,E07000037,High Peak,4.284402098,2.26971165,3.268564627,1.66
167,W06000015,Cardiff,4.2910359,2.25819925,3.240454304,1.67
168,E07000038,North East Derbyshire,4.286425247,2.264479937,3.262436676,1.68
169,W06000016,Rhondda Cynon Taf,4.318439959,2.249531282,3.270493578,1.69
170,E07000039,South Derbyshire,4.293746313,2.273456543,3.264163139,1.7
171,W06000018,Caerphilly,4.283246765,2.257937519,3.281422643,1.71
172,E07000040,East Devon,4.269429854,2.256830334,3.244508263,1.72
173,W06000019,Blaenau Gwent,4.333886227,2.252652036,,1.73
174,E07000041,Exeter,4.3205784,2.239728761,3.253907483,1.74
175,W06000020,Torfaen,4.283887264,2.253067137,,1.75
176,E07000042,Mid Devon,4.239148889,2.256550267,3.246950493,1.76
177,W06000021,Monmouthshire,4.25797739,2.238231431,3.223782687,1.77
178,E07000043,North Devon,4.268850552,2.234214435,3.253149205,1.78
179,W06000022,Newport,4.270026175,2.251426979,3.257436306,1.79
180,E07000044,South Hams,4.262600501,2.236040267,3.245020999,1.8
181,W06000023,Powys,4.249390776,2.250545275,3.235394981,1.81
182,E07000045,Teignbridge,4.252305706,2.235496488,3.253040606,1.82
183,W06000024,Merthyr Tydfil,4.326743984,2.264540198,,1.83
184,E07000046,Torridge,4.265345188,2.234015338,3.239951153,3.16
185,E07000047,West Devon,4.260039944,2.223505575,,3.17
186,E07000061,Eastbourne,4.240446415,2.243666431,3.219932872,3.18
187,E07000062,Hastings,4.252583665,2.247833433,3.224283255,3.19
188,E07000063,Lewes,4.235195702,2.242189098,3.200623884,3.2
189,E07000064,Rother,4.248017122,2.23496223,3.20672401,3.21
190,E07000065,Wealden,4.246217158,2.237093958,3.207792748,3.22
191,E07000066,Basildon,4.267475731,2.252803376,3.236151227,3.23
192,E07000067,Braintree,4.244392589,2.250064601,3.222728051,3.24
193,E07000068,Brentwood,4.275250947,2.246663874,3.234735387,3.25
194,E07000069,Castle Point,4.264833476,2.255340437,3.223501065,3.26
195,E07000070,Chelmsford,4.247461147,2.251616688,3.247932184,3.27
196,E07000071,Colchester,4.245461619,2.254548853,3.234759435,3.28
197,E07000072,Epping Forest,4.272092325,2.245009035,3.215341931,3.29
198,E07000073,Harlow,4.254498936,2.254842766,3.241764494,3.3
199,E07000074,Maldon,4.243188117,2.242028415,3.215174404,3.31
