Date,Region,Number of Delta cases
01/11/2021,Yorkshire and Humber,1581
01/11/2021,West Midlands,1329
01/11/2021,East Midlands,750
01/11/2021,East of England,818
01/11/2021,London,743
01/11/2021,South West,1063
01/11/2021,South East,1112
01/11/2021,Unknown,53
02/11/2021,North West,836
02/11/2021,North East,590
02/11/2021,Yorkshire and Humber,873
02/11/2021,West Midlands,851
02/11/2021,East Midlands,342
02/11/2021,East of England,580
02/11/2021,London,813
02/11/2021,South West,1020
02/11/2021,South East,1130
02/11/2021,Unknown,55
03/11/2021,North West,773
03/11/2021,North East,416
03/11/2021,Yorkshire and Humber,867
03/11/2021,West Midlands,1010
03/11/2021,East Midlands,498
03/11/2021,East of England,1037
03/11/2021,London,1282
03/11/2021,South West,700
03/11/2021,South East,1635
03/11/2021,Unknown,50
04/11/2021,North West,1103
04/11/2021,North East,343
04/11/2021,Yorkshire and Humber,794
04/11/2021,West Midlands,1031
04/11/2021,East Midlands,486
04/11/2021,East of England,829
04/11/2021,London,895
04/11/2021,South West,699
04/11/2021,South East,1814
04/11/2021,Unknown,41
05/11/2021,North West,1972
05/11/2021,North East,494
05/11/2021,Yorkshire and Humber,1422
05/11/2021,West Midlands,1257
05/11/2021,East Midlands,500
05/11/2021,East of England,654
05/11/2021,London,1013
05/11/2021,South West,709
05/11/2021,South East,1822
05/11/2021,Unknown,46
06/11/2021,North West,1538
06/11/2021,North East,426
06/11/2021,Yorkshire and Humber,1203
06/11/2021,West Midlands,1017
06/11/2021,East Midlands,592
06/11/2021,East of England,745
06/11/2021,London,732
06/11/2021,South West,344
06/11/2021,South East,1217
06/11/2021,Unknown,31
07/11/2021,North West,1643
07/11/2021,North East,461
07/11/2021,Yorkshire and Humber,1097
07/11/2021,West Midlands,956
07/11/2021,East Midlands,642
07/11/2021,East of England,866
07/11/2021,London,783
07/11/2021,South West,637
07/11/2021,South East,1253
07/11/2021,Unknown,34
08/11/2021,North West,2168
08/11/2021,North East,952
08/11/2021,Yorkshire and Humber,1234
08/11/2021,West Midlands,880
08/11/2021,East Midlands,1108
08/11/2021,East of England,1374
08/11/2021,London,1039
08/11/2021,South West,942
08/11/2021,South East,1301
08/11/2021,Unknown,65
09/11/2021,North West,1226
09/11/2021,North East,606
09/11/2021,Yorkshire and Humber,609
09/11/2021,West Midlands,548
09/11/2021,East Midlands,674
09/11/2021,East of England,830
09/11/2021,London,607
09/11/2021,South West,1185
09/11/2021,South East,1460
09/11/2021,Unknown,44
10/11/2021,North West,937
10/11/2021,North East,316
10/11/2021,Yorkshire and Humber,458
10/11/2021,West Midlands,558
10/11/2021,East Midlands,584
10/11/2021,East of England,794
10/11/2021,London,591
10/11/2021,South West,1371
10/11/2021,South East,993
10/11/2021,Unknown,38
11/11/2021,North West,541
11/11/2021,North East,481
11/11/2021,Yorkshire and Humber,528
11/11/2021,West Midlands,490
11/11/2021,East Midlands,778
11/11/2021,East of England,1199
11/11/2021,London,904
11/11/2021,South West,958
11/11/2021,South East,1103
11/11/2021,Unknown,45
12/11/2021,North West,769
12/11/2021,North East,482
12/11/2021,Yorkshire and Humber,732
12/11/2021,West Midlands,722
12/11/2021,East Midlands,954
12/11/2021,East of England,1148
12/11/2021,London,778
12/11/2021,South West,467
12/11/2021,South East,1230
12/11/2021,Unknown,61
13/11/2021,North West,1132
13/11/2021,North East,306
13/11/2021,Yorkshire and Humber,1106
13/11/2021,West Midlands,744
13/11/2021,East Midlands,670
13/11/2021,East of England,796
13/11/2021,London,780
13/11/2021,South West,561
13/11/2021,South East,1247
13/11/2021,Unknown,34
14/11/2021,North West,877
14/11/2021,North East,290
14/11/2021,Yorkshire and Humber,722
14/11/2021,West Midlands,855
14/11/2021,East Midlands,577
14/11/2021,East of England,829
14/11/2021,London,632
14/11/2021,South West,477
14/11/2021,South East,1241
14/11/2021,Unknown,26
15/11/2021,North West,1917
15/11/2021,North East,300
15/11/2021,Yorkshire and Humber,1603
15/11/2021,West Midlands,1258
15/11/2021,East Midlands,652
15/11/2021,East of England,1019
15/11/2021,London,1196
15/11/2021,South West,690
15/11/2021,South East,2139
15/11/2021,Unknown,44
16/11/2021,North West,1551
16/11/2021,North East,128
16/11/2021,Yorkshire and Humber,637
16/11/2021,West Midlands,1429
16/11/2021,East Midlands,889
16/11/2021,East of England,941
16/11/2021,London,865
16/11/2021,South West,768
16/11/2021,South East,1862
16/11/2021,Unknown,35
17/11/2021,North West,1769
17/11/2021,North East,309
17/11/2021,Yorkshire and Humber,878
17/11/2021,West Midlands,1278
17/11/2021,East Midlands,1009
17/11/2021,East of England,916
17/11/2021,London,716
17/11/2021,South West,1030
17/11/2021,South East,1709
17/11/2021,Unknown,36
18/11/2021,North West,1553
18/11/2021,North East,289
18/11/2021,Yorkshire and Humber,737
18/11/2021,West Midlands,1140
18/11/2021,East Midlands,744
18/11/2021,East of England,780
18/11/2021,London,725
18/11/2021,South West,869
18/11/2021,South East,1189
18/11/2021,Unknown,46
19/11/2021,North West,1010
19/11/2021,North East,311
19/11/2021,Yorkshire and Humber,554
19/11/2021,West Midlands,787
19/11/2021,East Midlands,629
19/11/2021,East of England,772
19/11/2021,London,691
19/11/2021,South West,1462
19/11/2021,South East,1285
19/11/2021,Unknown,48
20/11/2021,North West,500
20/11/2021,North East,303
20/11/2021,Yorkshire and Humber,304
20/11/2021,West Midlands,519
20/11/2021,East Midlands,671
20/11/2021,East of England,1171
20/11/2021,London,863
20/11/2021,South West,1320
20/11/2021,South East,1506
20/11/2021,Unknown,22
21/11/2021,North West,1074
21/11/2021,North East,233
21/11/2021,Yorkshire and Humber,471
21/11/2021,West Midlands,1344
21/11/2021,East Midlands,997
21/11/2021,East of England,1224
21/11/2021,London,1089
21/11/2021,South West,452
21/11/2021,South East,1513
21/11/2021,Unknown,31
22/11/2021,North West,1644
22/11/2021,North East,52
22/11/2021,Yorkshire and Humber,792
22/11/2021,West Midlands,1487
22/11/2021,East Midlands,1475
22/11/2021,East of England,1619
22/11/2021,London,1415
22/11/2021,South West,538
22/11/2021,South East,2185
22/11/2021,Unknown,63
23/11/2021,North West,1142
23/11/2021,North East,68
23/11/2021,Yorkshire and Humber,662
23/11/2021,West Midlands,1187
23/11/2021,East Midlands,828
23/11/2021,East of England,975
23/11/2021,London,1018
23/11/2021,South West,497
23/11/2021,South East,1886
23/11/2021,Unknown,35
24/11/2021,North West,1115
24/11/2021,North East,346
24/11/2021,Yorkshire and Humber,1030
24/11/2021,West Midlands,1491
24/11/2021,East Midlands,871
24/11/2021,East of England,1116
24/11/2021,London,1114
24/11/2021,South West,500
24/11/2021,South East,1931
24/11/2021,Unknown,40
25/11/2021,North West,1935
25/11/2021,North East,189
25/11/2021,Yorkshire and Humber,650
25/11/2021,West Midlands,1877
25/11/2021,East Midlands,799
25/11/2021,East of England,1235
25/11/2021,London,1026
25/11/2021,South West,459
25/11/2021,South East,1967
25/11/2021,Unknown,44
26/11/2021,North West,1874
26/11/2021,North East,266
26/11/2021,Yorkshire and Humber,917
26/11/2021,West Midlands,1468
26/11/2021,East Midlands,831
26/11/2021,East of England,1232
26/11/2021,London,1151
26/11/2021,South West,575
26/11/2021,South East,2091
26/11/2021,Unknown,37
27/11/2021,North West,1228
27/11/2021,North East,190
27/11/2021,Yorkshire and Humber,588
27/11/2021,West Midlands,881
27/11/2021,East Midlands,466
27/11/2021,East of England,927
27/11/2021,London,1171
27/11/2021,South West,476
27/11/2021,South East,1614
27/11/2021,Unknown,31
28/11/2021,North West,928
28/11/2021,North East,676
28/11/2021,Yorkshire and Humber,825
28/11/2021,West Midlands,701
28/11/2021,East Midlands,505
28/11/2021,East of England,982
28/11/2021,London,1161
28/11/2021,South West,1251
28/11/2021,South East,2041
28/11/2021,Unknown,30
29/11/2021,North West,1935
29/11/2021,North East,888
29/11/2021,Yorkshire and Humber,812
29/11/2021,West Midlands,1739
29/11/2021,East Midlands,1091
29/11/2021,East of England,1511
29/11/2021,London,2098
29/11/2021,South West,2164
29/11/2021,South East,3641
29/11/2021,Unknown,78
30/11/2021,North West,1840
30/11/2021,North East,488
30/11/2021,Yorkshire and Humber,911
30/11/2021,West Midlands,1581
30/11/2021,East Midlands,859
30/11/2021,East of England,1470
30/11/2021,London,1843
30/11/2021,South West,1512
30/11/2021,South East,3008
30/11/2021,Unknown,61
01/12/2021,North West,1484
01/12/2021,North East,722
01/12/2021,Yorkshire and Humber,595
01/12/2021,West Midlands,1106
01/12/2021,East Midlands,661
01/12/2021,East of England,1304
01/12/2021,London,2088
01/12/2021,South West,1394
01/12/2021,South East,3742
01/12/2021,Unknown,66
02/12/2021,North West,1177
02/12/2021,North East,386
02/12/2021,Yorkshire and Humber,423
02/12/2021,West Midlands,906
02/12/2021,East Midlands,570
02/12/2021,East of England,1345
02/12/2021,London,2053
02/12/2021,South West,2047
02/12/2021,South East,4099
02/12/2021,Unknown,76
03/12/2021,North West,1584
03/12/2021,North East,262
03/12/2021,Yorkshire and Humber,434
03/12/2021,West Midlands,1167
03/12/2021,East Midlands,567
03/12/2021,East of England,1481
03/12/2021,London,1976
03/12/2021,South West,2228
03/12/2021,South East,3068
03/12/2021,Unknown,68
04/12/2021,North West,284
04/12/2021,North East,192
04/12/2021,Yorkshire and Humber,411
04/12/2021,West Midlands,275
04/12/2021,East Midlands,628
04/12/2021,East of England,1519
04/12/2021,London,1897
04/12/2021,South West,1380
04/12/2021,South East,2839
04/12/2021,Unknown,45
05/12/2021,North West,540
05/12/2021,North East,315
05/12/2021,Yorkshire and Humber,574
05/12/2021,West Midlands,166
05/12/2021,East Midlands,709
05/12/2021,East of England,1333
05/12/2021,London,1106
05/12/2021,South West,1605
05/12/2021,South East,1978
05/12/2021,Unknown,46
06/12/2021,North West,1481
06/12/2021,North East,314
06/12/2021,Yorkshire and Humber,654
06/12/2021,West Midlands,922
06/12/2021,East Midlands,829
06/12/2021,East of England,1498
06/12/2021,London,1297
06/12/2021,South West,1650
06/12/2021,South East,2729
06/12/2021,Unknown,103
07/12/2021,North West,969
07/12/2021,North East,335
07/12/2021,Yorkshire and Humber,749
07/12/2021,West Midlands,683
07/12/2021,East Midlands,1198
07/12/2021,East of England,1242
07/12/2021,London,861
07/12/2021,South West,1975
07/12/2021,South East,2877
07/12/2021,Unknown,85
08/12/2021,North West,820
08/12/2021,North East,716
08/12/2021,Yorkshire and Humber,430
08/12/2021,West Midlands,912
08/12/2021,East Midlands,523
08/12/2021,East of England,744
08/12/2021,London,1055
08/12/2021,South West,1334
08/12/2021,South East,2764
08/12/2021,Unknown,78
09/12/2021,North West,465
09/12/2021,North East,665
09/12/2021,Yorkshire and Humber,331
09/12/2021,West Midlands,513
09/12/2021,East Midlands,919
09/12/2021,East of England,922
09/12/2021,London,1328
09/12/2021,South West,1534
09/12/2021,South East,2604
09/12/2021,Unknown,58
10/12/2021,North West,542
10/12/2021,North East,407
10/12/2021,Yorkshire and Humber,307
10/12/2021,West Midlands,542
10/12/2021,East Midlands,619
10/12/2021,East of England,740
10/12/2021,London,1578
10/12/2021,South West,1419
10/12/2021,South East,1984
10/12/2021,Unknown,57
11/12/2021,North West,403
11/12/2021,North East,256
11/12/2021,Yorkshire and Humber,431
11/12/2021,West Midlands,478
11/12/2021,East Midlands,469
11/12/2021,East of England,777
11/12/2021,London,670
11/12/2021,South West,1496
11/12/2021,South East,1110
11/12/2021,Unknown,43
12/12/2021,North West,364
12/12/2021,North East,219
12/12/2021,Yorkshire and Humber,583
12/12/2021,West Midlands,253
12/12/2021,East Midlands,405
12/12/2021,East of England,742
12/12/2021,London,498
12/12/2021,South West,1066
12/12/2021,South East,853
12/12/2021,Unknown,45
13/12/2021,North West,647
13/12/2021,North East,319
13/12/2021,Yorkshire and Humber,137
13/12/2021,West Midlands,555
13/12/2021,East Midlands,740
13/12/2021,East of England,801
13/12/2021,London,730
13/12/2021,South West,1265
13/12/2021,South East,1160
13/12/2021,Unknown,54
14/12/2021,North West,329
14/12/2021,North East,223
14/12/2021,Yorkshire and Humber,176
14/12/2021,West Midlands,264
14/12/2021,East Midlands,500
14/12/2021,East of England,596
14/12/2021,London,435
14/12/2021,South West,1071
14/12/2021,South East,697
14/12/2021,Unknown,42
15/12/2021,North West,324
15/12/2021,North East,174
15/12/2021,Yorkshire and Humber,169
15/12/2021,West Midlands,267
15/12/2021,East Midlands,399
15/12/2021,East of England,530
15/12/2021,London,400
15/12/2021,South West,1192
15/12/2021,South East,955
15/12/2021,Unknown,39
16/12/2021,North West,204
16/12/2021,North East,233
16/12/2021,Yorkshire and Humber,153
16/12/2021,West Midlands,153
16/12/2021,East Midlands,542
16/12/2021,East of England,326
16/12/2021,London,252
16/12/2021,South West,1272
16/12/2021,South East,712
16/12/2021,Unknown,30
17/12/2021,North West,202
17/12/2021,North East,248
17/12/2021,Yorkshire and Humber,170
17/12/2021,West Midlands,206
17/12/2021,East Midlands,234
17/12/2021,East of England,169
17/12/2021,London,209
17/12/2021,South West,1026
17/12/2021,South East,560
17/12/2021,Unknown,52
18/12/2021,North West,277
18/12/2021,North East,31
18/12/2021,Yorkshire and Humber,160
18/12/2021,West Midlands,179
18/12/2021,East Midlands,165
18/12/2021,East of England,259
18/12/2021,London,243
18/12/2021,South West,739
18/12/2021,South East,768
18/12/2021,Unknown,36
19/12/2021,North West,141
19/12/2021,North East,96
19/12/2021,Yorkshire and Humber,118
19/12/2021,West Midlands,112
19/12/2021,East Midlands,134
19/12/2021,East of England,200
19/12/2021,London,194
19/12/2021,South West,521
19/12/2021,South East,453
19/12/2021,Unknown,27
20/12/2021,North West,119
20/12/2021,North East,61
20/12/2021,Yorkshire and Humber,136
20/12/2021,West Midlands,191
20/12/2021,East Midlands,208
20/12/2021,East of England,299
20/12/2021,London,218
20/12/2021,South West,805
20/12/2021,South East,496
20/12/2021,Unknown,33
21/12/2021,North West,178
21/12/2021,North East,93
21/12/2021,Yorkshire and Humber,111
21/12/2021,West Midlands,83
21/12/2021,East Midlands,126
21/12/2021,East of England,76
21/12/2021,London,117
21/12/2021,South West,580
21/12/2021,South East,377
21/12/2021,Unknown,38
22/12/2021,North West,142
22/12/2021,North East,30
22/12/2021,Yorkshire and Humber,64
22/12/2021,West Midlands,69
22/12/2021,East Midlands,75
22/12/2021,East of England,81
22/12/2021,London,103
22/12/2021,South West,497
22/12/2021,South East,269
22/12/2021,Unknown,30
23/12/2021,North West,100
23/12/2021,North East,85
23/12/2021,Yorkshire and Humber,60
23/12/2021,West Midlands,105
23/12/2021,East Midlands,89
23/12/2021,East of England,78
23/12/2021,London,90
23/12/2021,South West,429
23/12/2021,South East,195
23/12/2021,Unknown,31
24/12/2021,North West,76
24/12/2021,North East,12
24/12/2021,Yorkshire and Humber,35
24/12/2021,West Midlands,45
24/12/2021,East Midlands,23
24/12/2021,East of England,57
24/12/2021,London,60
24/12/2021,South West,409
24/12/2021,South East,81
24/12/2021,Unknown,26
25/12/2021,North West,28
25/12/2021,North East,22
25/12/2021,Yorkshire and Humber,36
25/12/2021,West Midlands,21
25/12/2021,East Midlands,26
25/12/2021,East of England,38
25/12/2021,London,48
25/12/2021,South West,145
25/12/2021,South East,39
25/12/2021,Unknown,11
26/12/2021,North West,83
26/12/2021,North East,27
26/12/2021,Yorkshire and Humber,35
26/12/2021,West Midlands,37
26/12/2021,East Midlands,34
26/12/2021,East of England,50
26/12/2021,London,56
26/12/2021,South West,279
26/12/2021,South East,57
26/12/2021,Unknown,16
27/12/2021,North West,72
27/12/2021,North East,54
27/12/2021,Yorkshire and Humber,68
27/12/2021,West Midlands,42
27/12/2021,East Midlands,60
27/12/2021,East of England,61
27/12/2021,London,69
27/12/2021,South West,257
27/12/2021,South East,90
27/12/2021,Unknown,12
28/12/2021,North West,62
28/12/2021,North East,15
28/12/2021,Yorkshire and Humber,54
28/12/2021,West Midlands,24
28/12/2021,East Midlands,40
28/12/2021,East of England,53
28/12/2021,London,66
28/12/2021,South West,138
28/12/2021,South East,71
28/12/2021,Unknown,9
29/12/2021,North West,60
29/12/2021,North East,23
29/12/2021,Yorkshire and Humber,63
29/12/2021,West Midlands,48
29/12/2021,East Midlands,48
29/12/2021,East of England,71
29/12/2021,London,69
29/12/2021,South West,252
29/12/2021,South East,139
29/12/2021,Unknown,20
30/12/2021,North West,57
30/12/2021,North East,18
30/12/2021,Yorkshire and Humber,38
30/12/2021,West Midlands,27
30/12/2021,East Midlands,37
30/12/2021,East of England,38
30/12/2021,London,72
30/12/2021,South West,133
30/12/2021,South East,37
30/12/2021,Unknown,21
31/12/2021,North West,52
31/12/2021,North East,12
31/12/2021,Yorkshire and Humber,35
31/12/2021,West Midlands,16
31/12/2021,East Midlands,11
31/12/2021,East of England,25
31/12/2021,London,40
31/12/2021,South West,125
31/12/2021,South East,65
31/12/2021,Unknown,12
01/01/2022,North West,17
01/01/2022,North East,9
01/01/2022,Yorkshire and Humber,18
01/01/2022,West Midlands,8
01/01/2022,East Midlands,18
01/01/2022,East of England,32
01/01/2022,London,22
01/01/2022,South West,73
01/01/2022,South East,36
01/01/2022,Unknown,5
02/01/2022,North West,32
02/01/2022,North East,19
02/01/2022,Yorkshire and Humber,22
02/01/2022,West Midlands,12
02/01/2022,East Midlands,16
02/01/2022,East of England,31
02/01/2022,London,37
02/01/2022,South West,108
02/01/2022,South East,34
02/01/2022,Unknown,11
03/01/2022,North West,33
03/01/2022,North East,17
03/01/2022,Yorkshire and Humber,17
03/01/2022,West Midlands,16
03/01/2022,East Midlands,27
03/01/2022,East of England,28
03/01/2022,London,46
03/01/2022,South West,110
03/01/2022,South East,49
03/01/2022,Unknown,17
04/01/2022,North West,47
04/01/2022,North East,9
04/01/2022,Yorkshire and Humber,19
04/01/2022,West Midlands,20
04/01/2022,East Midlands,32
04/01/2022,East of England,36
04/01/2022,London,35
04/01/2022,South West,143
04/01/2022,South East,61
04/01/2022,Unknown,12
05/01/2022,North West,47
05/01/2022,North East,15
05/01/2022,Yorkshire and Humber,19
05/01/2022,West Midlands,10
05/01/2022,East Midlands,12
05/01/2022,East of England,21
05/01/2022,London,41
05/01/2022,South West,58
05/01/2022,South East,44
05/01/2022,Unknown,12
06/01/2022,North West,29
06/01/2022,North East,8
06/01/2022,Yorkshire and Humber,25
06/01/2022,West Midlands,15
06/01/2022,East Midlands,24
06/01/2022,East of England,31
06/01/2022,London,45
06/01/2022,South West,59
06/01/2022,South East,38
06/01/2022,Unknown,8
07/01/2022,North West,22
07/01/2022,North East,8
07/01/2022,Yorkshire and Humber,10
07/01/2022,West Midlands,15
07/01/2022,East Midlands,18
07/01/2022,East of England,29
07/01/2022,London,29
07/01/2022,South West,51
07/01/2022,South East,25
07/01/2022,Unknown,10
08/01/2022,North West,14
08/01/2022,North East,4
08/01/2022,Yorkshire and Humber,10
08/01/2022,West Midlands,9
08/01/2022,East Midlands,10
08/01/2022,East of England,12
08/01/2022,London,13
08/01/2022,South West,25
08/01/2022,South East,27
08/01/2022,Unknown,4
09/01/2022,North West,8
09/01/2022,North East,5
09/01/2022,Yorkshire and Humber,11
09/01/2022,West Midlands,14
09/01/2022,East Midlands,12
09/01/2022,East of England,17
09/01/2022,London,12
09/01/2022,South West,15
09/01/2022,South East,15
09/01/2022,Unknown,2
10/01/2022,North West,13
10/01/2022,North East,2
10/01/2022,Yorkshire and Humber,11
10/01/2022,West Midlands,12
10/01/2022,East Midlands,7
10/01/2022,East of England,27
10/01/2022,London,24
10/01/2022,South West,40
10/01/2022,South East,25
10/01/2022,Unknown,6
11/01/2022,North West,13
11/01/2022,North East,2
11/01/2022,Yorkshire and Humber,12
11/01/2022,West Midlands,10
11/01/2022,East Midlands,7
11/01/2022,East of England,14
11/01/2022,London,18
11/01/2022,South West,35
11/01/2022,South East,11
11/01/2022,Unknown,4
12/01/2022,North West,6
12/01/2022,North East,4
12/01/2022,Yorkshire and Humber,3
12/01/2022,West Midlands,4
12/01/2022,East Midlands,7
12/01/2022,East of England,6
12/01/2022,London,17
12/01/2022,South West,29
12/01/2022,South East,14
12/01/2022,Unknown,1
13/01/2022,North West,8
13/01/2022,Yorkshire and Humber,8
13/01/2022,West Midlands,7
13/01/2022,East Midlands,14
13/01/2022,East of England,7
13/01/2022,London,7
13/01/2022,South West,20
13/01/2022,South East,15
13/01/2022,Unknown,6
14/01/2022,North West,10
14/01/2022,North East,3
14/01/2022,Yorkshire and Humber,7
14/01/2022,West Midlands,2
14/01/2022,East Midlands,5
14/01/2022,East of England,5
14/01/2022,London,16
14/01/2022,South West,18
14/01/2022,South East,18
15/01/2022,North West,3
15/01/2022,North East,6
15/01/2022,Yorkshire and Humber,1
15/01/2022,West Midlands,2
15/01/2022,East Midlands,5
15/01/2022,East of England,4
15/01/2022,London,9
15/01/2022,South West,16
15/01/2022,South East,12
15/01/2022,Unknown,2
16/01/2022,North West,4
16/01/2022,North East,2
16/01/2022,Yorkshire and Humber,2
16/01/2022,West Midlands,1
16/01/2022,East of England,8
16/01/2022,London,5
16/01/2022,South West,12
16/01/2022,South East,4
17/01/2022,North West,1
17/01/2022,North East,1
17/01/2022,Yorkshire and Humber,3
17/01/2022,West Midlands,5
17/01/2022,East Midlands,6
17/01/2022,East of England,7
17/01/2022,London,5
17/01/2022,South West,13
17/01/2022,South East,10
17/01/2022,Unknown,2
18/01/2022,North West,3
18/01/2022,North East,2
18/01/2022,Yorkshire and Humber,3
18/01/2022,West Midlands,2
18/01/2022,East Midlands,6
18/01/2022,East of England,10
18/01/2022,London,6
18/01/2022,South West,15
18/01/2022,South East,3
19/01/2022,North West,2
19/01/2022,North East,2
19/01/2022,Yorkshire and Humber,2
19/01/2022,West Midlands,2
19/01/2022,East Midlands,5
19/01/2022,East of England,11
19/01/2022,London,5
19/01/2022,South West,18
19/01/2022,South East,6
20/01/2022,North West,1
20/01/2022,Yorkshire and Humber,2
20/01/2022,West Midlands,4
20/01/2022,East Midlands,1
20/01/2022,East of England,1
20/01/2022,London,4
20/01/2022,South West,5
20/01/2022,South East,4
20/01/2022,Unknown,1
21/01/2022,North West,1
21/01/2022,Yorkshire and Humber,2
21/01/2022,West Midlands,1
21/01/2022,East Midlands,1
21/01/2022,East of England,6
21/01/2022,London,3
21/01/2022,South West,4
21/01/2022,South East,7
21/01/2022,Unknown,1
22/01/2022,North East,1
22/01/2022,Yorkshire and Humber,2
22/01/2022,West Midlands,1
22/01/2022,East Midlands,1
22/01/2022,East of England,5
22/01/2022,London,3
22/01/2022,South West,9
22/01/2022,South East,4
23/01/2022,North West,3
23/01/2022,Yorkshire and Humber,1
23/01/2022,West Midlands,1
23/01/2022,East Midlands,1
23/01/2022,East of England,6
23/01/2022,London,2
23/01/2022,South West,8
23/01/2022,South East,2
24/01/2022,North West,3
24/01/2022,Yorkshire and Humber,1
24/01/2022,West Midlands,1
24/01/2022,East of England,4
24/01/2022,London,2
24/01/2022,South West,8
24/01/2022,South East,2
24/01/2022,Unknown,1
25/01/2022,North West,3
25/01/2022,West Midlands,1
25/01/2022,East Midlands,1
25/01/2022,East of England,5
25/01/2022,London,2
25/01/2022,South West,5
25/01/2022,South East,4
26/01/2022,North West,1
26/01/2022,Yorkshire and Humber,1
26/01/2022,East Midlands,2
26/01/2022,East of England,5
26/01/2022,London,2
26/01/2022,South West,5
26/01/2022,South East,2
27/01/2022,East Midlands,1
27/01/2022,East of England,2
27/01/2022,South West,5
27/01/2022,South East,3
28/01/2022,North East,1
28/01/2022,Yorkshire and Humber,1
28/01/2022,West Midlands,3
28/01/2022,East Midlands,2
28/01/2022,East of England,4
28/01/2022,Unknown,2
29/01/2022,East Midlands,1
29/01/2022,East of England,1
29/01/2022,London,2
29/01/2022,South West,1
29/01/2022,South East,1
30/01/2022,North West,1
30/01/2022,East of England,1
30/01/2022,South West,1
31/01/2022,North West,1
31/01/2022,North East,1
31/01/2022,East of England,4
31/01/2022,London,1
31/01/2022,South West,2
31/01/2022,South East,1
01/02/2022,North East,1
01/02/2022,West Midlands,1
01/02/2022,East of England,1
01/02/2022,South West,1
01/02/2022,South East,2
02/02/2022,West Midlands,3
02/02/2022,East Midlands,1
02/02/2022,East of England,2
02/02/2022,London,3
02/02/2022,South West,4
02/02/2022,South East,2
03/02/2022,North East,1
03/02/2022,West Midlands,2
03/02/2022,East Midlands,1
03/02/2022,East of England,2
03/02/2022,London,1
03/02/2022,South East,3
04/02/2022,North West,1
04/02/2022,East of England,1
04/02/2022,London,1
04/02/2022,South East,1
05/02/2022,South West,6
06/02/2022,East Midlands,1
06/02/2022,East of England,1
06/02/2022,South West,1
06/02/2022,South East,2
07/02/2022,West Midlands,1
07/02/2022,East of England,1
07/02/2022,London,1
07/02/2022,South West,3
07/02/2022,South East,1
08/02/2022,North West,1
08/02/2022,Yorkshire and Humber,5
08/02/2022,East Midlands,1
08/02/2022,London,2
08/02/2022,South West,1
09/02/2022,East Midlands,2
09/02/2022,East of England,1
09/02/2022,South East,1
10/02/2022,East Midlands,1
10/02/2022,East of England,3
10/02/2022,South West,2
10/02/2022,South East,1
11/02/2022,Yorkshire and Humber,1
11/02/2022,East of England,1
11/02/2022,London,2
11/02/2022,South West,1
11/02/2022,South East,1
12/02/2022,East Midlands,1
12/02/2022,East of England,2
12/02/2022,South West,2
13/02/2022,Yorkshire and Humber,1
13/02/2022,East of England,2
13/02/2022,South West,1
14/02/2022,London,1
15/02/2022,North West,1
15/02/2022,East Midlands,1
15/02/2022,South East,2
16/02/2022,Yorkshire and Humber,2
16/02/2022,East of England,1
16/02/2022,South West,2
17/02/2022,West Midlands,3
17/02/2022,London,1
18/02/2022,North West,1
18/02/2022,London,1
18/02/2022,South West,1
19/02/2022,North West,2
19/02/2022,West Midlands,1
19/02/2022,East of England,1
20/02/2022,East of England,1
21/02/2022,West Midlands,1
21/02/2022,East of England,1
21/02/2022,South East,1
22/02/2022,North East,1
22/02/2022,West Midlands,3
22/02/2022,East of England,1
22/02/2022,London,1
22/02/2022,South West,1
22/02/2022,South East,1
23/02/2022,North West,1
24/02/2022,South West,1
24/02/2022,Unknown,1
25/02/2022,Yorkshire and Humber,1
26/02/2022,Yorkshire and Humber,1
26/02/2022,West Midlands,1
27/02/2022,East of England,1
28/02/2022,North West,1
28/02/2022,Yorkshire and Humber,1
28/02/2022,Unknown,2
01/03/2022,East of England,2
01/03/2022,South West,1
01/03/2022,South East,1
02/03/2022,North East,1
02/03/2022,South West,1
03/03/2022,East of England,1
04/03/2022,East of England,1
05/03/2022,West Midlands,1
05/03/2022,South East,1
06/03/2022,London,2
06/03/2022,South West,2
07/03/2022,North East,1
07/03/2022,West Midlands,1
07/03/2022,London,2
07/03/2022,South West,2
08/03/2022,South West,1
08/03/2022,South East,1
10/03/2022,London,2
10/03/2022,South East,1
11/03/2022,North West,1
11/03/2022,East of England,1
11/03/2022,South West,3
12/03/2022,South West,1
13/03/2022,London,1
14/03/2022,South West,1
16/03/2022,East of England,1
17/03/2022,West Midlands,1
18/03/2022,South West,1
