Date,Region,Number of Delta cases
17/06/2021,East of England,255
17/06/2021,London,729
17/06/2021,South West,359
17/06/2021,South East,480
17/06/2021,Unknown,34
18/06/2021,North West,2238
18/06/2021,North East,597
18/06/2021,Yorkshire and Humber,807
18/06/2021,West Midlands,604
18/06/2021,East Midlands,377
18/06/2021,East of England,259
18/06/2021,London,755
18/06/2021,South West,401
18/06/2021,South East,543
18/06/2021,Unknown,17
19/06/2021,North West,1703
19/06/2021,North East,281
19/06/2021,Yorkshire and Humber,466
19/06/2021,West Midlands,491
19/06/2021,East Midlands,199
19/06/2021,East of England,127
19/06/2021,London,523
19/06/2021,South West,212
19/06/2021,South East,297
19/06/2021,Unknown,17
20/06/2021,North West,1881
20/06/2021,North East,324
20/06/2021,Yorkshire and Humber,493
20/06/2021,West Midlands,462
20/06/2021,East Midlands,168
20/06/2021,East of England,73
20/06/2021,London,355
20/06/2021,South West,64
20/06/2021,South East,212
20/06/2021,Unknown,13
21/06/2021,North West,3061
21/06/2021,North East,687
21/06/2021,Yorkshire and Humber,1046
21/06/2021,West Midlands,826
21/06/2021,East Midlands,351
21/06/2021,East of England,191
21/06/2021,London,634
21/06/2021,South West,214
21/06/2021,South East,351
21/06/2021,Unknown,35
22/06/2021,North West,2461
22/06/2021,North East,418
22/06/2021,Yorkshire and Humber,778
22/06/2021,West Midlands,867
22/06/2021,East Midlands,432
22/06/2021,East of England,428
22/06/2021,London,1018
22/06/2021,South West,333
22/06/2021,South East,555
22/06/2021,Unknown,27
23/06/2021,North West,1931
23/06/2021,North East,525
23/06/2021,Yorkshire and Humber,764
23/06/2021,West Midlands,667
23/06/2021,East Midlands,295
23/06/2021,East of England,305
23/06/2021,London,1102
23/06/2021,South West,657
23/06/2021,South East,739
23/06/2021,Unknown,42
24/06/2021,North West,796
24/06/2021,North East,313
24/06/2021,Yorkshire and Humber,658
24/06/2021,West Midlands,292
24/06/2021,East Midlands,359
24/06/2021,East of England,463
24/06/2021,London,1108
24/06/2021,South West,620
24/06/2021,South East,809
24/06/2021,Unknown,35
25/06/2021,North West,649
25/06/2021,North East,649
25/06/2021,Yorkshire and Humber,713
25/06/2021,West Midlands,224
25/06/2021,East Midlands,254
25/06/2021,East of England,249
25/06/2021,London,798
25/06/2021,South West,243
25/06/2021,South East,457
25/06/2021,Unknown,50
26/06/2021,North West,609
26/06/2021,North East,555
26/06/2021,Yorkshire and Humber,488
26/06/2021,West Midlands,305
26/06/2021,East Midlands,307
26/06/2021,East of England,354
26/06/2021,London,700
26/06/2021,South West,665
26/06/2021,South East,688
26/06/2021,Unknown,23
27/06/2021,North West,693
27/06/2021,North East,437
27/06/2021,Yorkshire and Humber,673
27/06/2021,West Midlands,282
27/06/2021,East Midlands,320
27/06/2021,East of England,233
27/06/2021,London,724
27/06/2021,South West,629
27/06/2021,South East,460
27/06/2021,Unknown,20
28/06/2021,North West,1109
28/06/2021,North East,642
28/06/2021,Yorkshire and Humber,1016
28/06/2021,West Midlands,455
28/06/2021,East Midlands,414
28/06/2021,East of England,368
28/06/2021,London,1085
28/06/2021,South West,474
28/06/2021,South East,715
28/06/2021,Unknown,24
29/06/2021,North West,1628
29/06/2021,North East,288
29/06/2021,Yorkshire and Humber,615
29/06/2021,West Midlands,996
29/06/2021,East Midlands,603
29/06/2021,East of England,517
29/06/2021,London,1149
29/06/2021,South West,949
29/06/2021,South East,1106
29/06/2021,Unknown,41
30/06/2021,North West,1079
30/06/2021,North East,485
30/06/2021,Yorkshire and Humber,870
30/06/2021,West Midlands,375
30/06/2021,East Midlands,417
30/06/2021,East of England,423
30/06/2021,London,820
30/06/2021,South West,741
30/06/2021,South East,852
30/06/2021,Unknown,34
01/07/2021,North West,366
01/07/2021,North East,608
01/07/2021,Yorkshire and Humber,837
01/07/2021,West Midlands,145
01/07/2021,East Midlands,216
01/07/2021,East of England,337
01/07/2021,London,1118
01/07/2021,South West,966
01/07/2021,South East,958
01/07/2021,Unknown,57
02/07/2021,North West,514
02/07/2021,North East,433
02/07/2021,Yorkshire and Humber,550
02/07/2021,West Midlands,170
02/07/2021,East Midlands,211
02/07/2021,East of England,332
02/07/2021,London,805
02/07/2021,South West,731
02/07/2021,South East,951
02/07/2021,Unknown,37
03/07/2021,North West,310
03/07/2021,North East,542
03/07/2021,Yorkshire and Humber,459
03/07/2021,West Midlands,198
03/07/2021,East Midlands,259
03/07/2021,East of England,271
03/07/2021,London,425
03/07/2021,South West,275
03/07/2021,South East,716
03/07/2021,Unknown,28
04/07/2021,North West,924
04/07/2021,North East,585
04/07/2021,Yorkshire and Humber,572
04/07/2021,West Midlands,666
04/07/2021,East Midlands,340
04/07/2021,East of England,351
04/07/2021,London,491
04/07/2021,South West,515
04/07/2021,South East,597
04/07/2021,Unknown,24
05/07/2021,North West,689
05/07/2021,North East,635
05/07/2021,Yorkshire and Humber,1003
05/07/2021,West Midlands,268
05/07/2021,East Midlands,330
05/07/2021,East of England,573
05/07/2021,London,813
05/07/2021,South West,415
05/07/2021,South East,873
05/07/2021,Unknown,37
