Date,Alpha,Delta,Omicron,Original
2020/12/14,133565,0,0,1829346
2020/12/15,149191,0,0,1848134
2020/12/16,165696,0,0,1867067
2020/12/17,184758,0,0,1882445
2020/12/18,205538,0,0,1898083
2020/12/19,215451,0,0,1913759
2020/12/20,224936,0,0,1937338
2020/12/21,238210,0,0,1972256
2020/12/22,247060,0,0,2009882
2020/12/23,255536,0,0,2044342
2020/12/24,263078,0,0,2069191
2020/12/25,269034,0,0,2077654
2020/12/26,286080,0,0,2101717
2020/12/27,298439,0,0,2137877
2020/12/28,309697,0,0,2173026
2020/12/29,337927,0,0,2227884
2020/12/30,354300,0,0,2283672
2020/12/31,372205,0,0,2319712
2021/1/1,382735,0,0,2341664
2021/1/2,416397,0,0,2369655
2021/1/3,442012,0,0,2400373
2021/1/4,470558,0,0,2449797
2021/1/5,496734,0,0,2490257
2021/1/6,516878,0,0,2528897
2021/1/7,540683,0,0,2558279
2021/1/8,569976,0,0,2577089
2021/1/9,604366,0,0,2582734
2021/1/10,629645,0,0,2594629
2021/1/11,666780,0,0,2616085
2021/1/12,710318,0,0,2623194
2021/1/13,738809,0,0,2641209
2021/1/14,773834,0,0,2649657
2021/1/15,812107,0,0,2652834
2021/1/16,840934,0,0,2655254
2021/1/17,870246,0,0,2655534
2021/1/18,907343,0,0,2664393
2021/1/19,939922,0,0,2672339
2021/1/20,971362,0,0,2676884
2021/1/21,1001234,0,0,2679513
2021/1/22,1040740,0,0,2670337
2021/1/23,1069436,0,0,2663985
2021/1/24,1093931,0,0,2657044
2021/1/25,1152648,0,0,2629063
2021/1/26,1201507,0,0,2607934
2021/1/27,1250815,0,0,2584929
2021/1/28,1294447,0,0,2566069
2021/1/29,1349859,0,0,2679513
2021/1/30,1394798,0,0,2679513
2021/1/31,1422691,0,0,2679513
2021/2/1,1455923,0,0,2679513
2021/2/2,1481371,0,0,2679513
2021/2/3,1507770,0,0,2679513
2021/2/4,1539434,0,0,2679513
2021/2/5,1566954,0,0,2679513
2021/2/6,1592700,0,0,2679513
2021/2/7,1619529,0,0,2679513
2021/2/8,1658288,0,0,2679513
2021/2/9,1691782,0,0,2679513
2021/2/10,1729084,0,0,2679513
2021/2/11,1765659,0,0,2679513
2021/2/12,1802401,0,0,2679513
2021/2/13,1831377,0,0,2679513
2021/2/14,1866701,0,0,2679513
2021/2/15,1918678,0,0,2679513
2021/2/16,1959864,0,0,2679513
2021/2/17,1990240,0,0,2679513
2021/2/18,2020392,0,0,2679513
2021/2/19,2053942,0,0,2679513
2021/2/20,2086297,0,0,2679513
2021/2/21,2130078,0,0,2679513
2021/2/22,2174401,0,0,2679513
2021/2/23,2207746,0,0,2679513
2021/2/24,2238906,0,0,2679513
2021/2/25,2286608,0,0,2679513
2021/2/26,2318179,0,0,2679513
2021/2/27,2341535,0,0,2679513
2021/2/28,2367075,0,0,2679513
2021/3/1,2406936,0,0,2679513
2021/3/2,2442745,0,0,2679513
2021/3/3,2478125,0,0,2679513
2021/3/4,2504487,0,0,2679513
2021/3/5,2536263,0,0,2679513
2021/3/6,2557696,0,0,2679513
2021/3/7,2573080,0,0,2679513
2021/3/8,2604315,0,0,2679513
2021/3/9,2637398,0,0,2679513
2021/3/10,2683831,0,0,2679513
2021/3/11,2728676,0,0,2679513
2021/3/12,2764634,0,0,2679513
2021/3/13,2796411,0,0,2679513
2021/3/14,2826880,0,0,2679513
2021/3/15,2880388,0,0,2679513
2021/3/16,2926765,0,0,2679513
2021/3/17,2960035,0,0,2679513
2021/3/18,2990243,0,0,2679513
2021/3/19,3015597,0,0,2679513
2021/3/20,3050976,0,0,2679513
2021/3/21,3088988,0,0,2679513
2021/3/22,3143542,0,0,2679513
2021/3/23,3184821,0,0,2679513
2021/3/24,3220799,0,0,2679513
2021/3/25,3260192,0,0,2679513
2021/3/26,3292753,0,0,2679513
2021/3/27,3321971,0,0,2679513
2021/3/28,3349192,0,0,2679513
2021/3/29,3388268,0,0,2679513
2021/3/30,3417767,0,0,2679513
2021/3/31,3445585,0,0,2679513
2021/4/1,3472302,10,0,2679513
2021/4/2,3494631,26,0,2679513
2021/4/3,3516867,63,0,2679513
2021/4/4,3538021,84,0,2679513
2021/4/5,3560481,106,0,2679513
2021/4/6,3583762,185,0,2679513
2021/4/7,3604038,249,0,2679513
2021/4/8,3622838,291,0,2679513
2021/4/9,3640743,328,0,2679513
2021/4/10,3653513,355,0,2679513
2021/4/11,3668580,418,0,2679513
2021/4/12,3689938,482,0,2679513
2021/4/13,3708608,535,0,2679513
2021/4/14,3726494,657,0,2679513
2021/4/15,3743745,800,0,2679513
2021/4/16,3759391,991,0,2679513
2021/4/17,3772348,1187,0,2679513
2021/4/18,3784222,1293,0,2679513
2021/4/19,3803396,1658,0,2679513
2021/4/20,3819639,1908,0,2679513
2021/4/21,3839597,2204,0,2679513
2021/4/22,3857315,2512,0,2679513
2021/4/23,3871579,2809,0,2679513
2021/4/24,3881866,3111,0,2679513
2021/4/25,3892769,3439,0,2679513
2021/4/26,3912503,3948,0,2679513
2021/4/27,3927943,4425,0,2679513
2021/4/28,3942338,4966,0,2679513
2021/4/29,3958357,5432,0,2679513
2021/4/30,3971146,6142,0,2679513
2021/5/1,3979678,6784,0,2679513
2021/5/2,3985914,7414,0,2679513
2021/5/3,3997228,8162,0,2679513
2021/5/4,4014610,9174,0,2679513
2021/5/5,4028873,10594,0,2679513
2021/5/6,4044146,11951,0,2679513
2021/5/7,4057028,13387,0,2679513
2021/5/8,4064589,14564,0,2679513
2021/5/9,4072319,15889,0,2679513
2021/5/10,4084753,18396,0,2679513
2021/5/11,4095469,20473,0,2679513
2021/5/12,4105701,22684,0,2679513
2021/5/13,4115745,24046,0,2679513
2021/5/14,4124483,25742,0,2679513
2021/5/15,4130121,27443,0,2679513
2021/5/16,4136189,29208,0,2679513
2021/5/17,4146756,33506,0,2679513
2021/5/18,4156203,38001,0,2679513
2021/5/19,4166061,42394,0,2679513
2021/5/20,4173323,46544,0,2679513
2021/5/21,4178570,50344,0,2679513
2021/5/22,4183386,54187,0,2679513
2021/5/23,4187307,58172,0,2679513
2021/5/24,4193898,65529,0,2679513
2021/5/25,4200245,74072,0,2679513
2021/5/26,4207041,83119,0,2679513
2021/5/27,4214211,92575,0,2679513
2021/5/28,4220894,101813,0,2679513
2021/5/29,4225898,110838,0,2679513
2021/5/30,4229632,119594,0,2679513
2021/5/31,4234561,130454,0,2679513
2021/6/1,4240591,147355,0,2679513
2021/6/2,4245296,165678,0,2679513
2021/6/3,4249833,184620,0,2679513
2021/6/4,4256125,203732,0,2679513
2021/6/5,4260419,220045,0,2679513
2021/6/6,4263817,236305,0,2679513
2021/6/7,4269380,262848,0,2679513
2021/6/8,4273096,288659,0,2679513
2021/6/9,4276232,314894,0,2679513
2021/6/10,4278510,342597,0,2679513
2021/6/11,4280340,368053,0,2679513
2021/6/12,4281665,386688,0,2679513
2021/6/13,4282617,404946,0,2679513
2021/6/14,4284260,436746,0,2679513
2021/6/15,4285325,470830,0,2679513
2021/6/16,4286501,504639,0,2679513
2021/6/17,4287472,539434,0,2679513
2021/6/18,4288760,574403,0,2679513
2021/6/19,4289525,597278,0,2679513
2021/6/20,4290104,618716,0,2679513
2021/6/21,4291299,657915,0,2679513
2021/6/22,4292027,696695,0,2679513
2021/6/23,4292793,733938,0,2679513
2021/6/24,4293558,762839,0,2679513
2021/6/25,4294006,785555,0,2679513
2021/6/26,4294641,810433,0,2679513
2021/6/27,4294958,834129,0,2679513
2021/6/28,4295668,867530,0,2679513
2021/6/29,4296303,909358,0,2679513
2021/6/30,4296863,941666,0,2679513
2021/7/1,4297180,971389,0,2679513
2021/7/2,4297460,996479,0,2679513
2021/7/3,4297684,1014939,0,2679513
2021/7/4,4297908,1041783,0,2679513
2021/7/5,4298207,1071654,0,2679513
2021/7/6,4298394,1093803,0,2679513
2021/7/7,4298580,1120732,0,2679513
2021/7/8,4298636,1143040,0,2679513
2021/7/9,4298767,1165846,0,2679513
2021/7/10,4298860,1185175,0,2679513
2021/7/11,4298935,1207244,0,2679513
2021/7/12,4298972,1232260,0,2679513
2021/7/13,4299066,1255946,0,2679513
2021/7/14,4299103,1284476,0,2679513
2021/7/15,4299122,1305135,0,2679513
2021/7/16,4299234,1331365,0,2679513
2021/7/17,4299308,1349692,0,2679513
