areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,02/05/2020,2762,158208,2762,158208,,
nation,England,E92000001,03/05/2020,2648,160856,2648,160856,,
nation,England,E92000001,04/05/2020,2851,163707,2851,163707,,
nation,England,E92000001,05/05/2020,3148,166855,3148,166855,,
nation,England,E92000001,06/05/2020,3264,170119,3264,170119,,
nation,England,E92000001,07/05/2020,3205,173324,3205,173324,,
nation,England,E92000001,08/05/2020,2622,175946,2622,175946,,
nation,England,E92000001,09/05/2020,1797,177743,1797,177743,,
nation,England,E92000001,10/05/2020,2013,179756,2013,179756,,
nation,England,E92000001,11/05/2020,3088,182844,3088,182844,,
nation,England,E92000001,12/05/2020,2940,185784,2940,185784,,
nation,England,E92000001,13/05/2020,2899,188683,2899,188683,,
nation,England,E92000001,14/05/2020,2222,190905,2222,190905,,
nation,England,E92000001,15/05/2020,2145,193050,2145,193050,,
nation,England,E92000001,16/05/2020,1781,194831,1781,194831,,
nation,England,E92000001,17/05/2020,1593,196424,1593,196424,,
nation,England,E92000001,18/05/2020,2226,198650,2226,198650,,
nation,England,E92000001,19/05/2020,2602,201252,2602,201252,,
nation,England,E92000001,20/05/2020,2359,203611,2359,203611,,
nation,England,E92000001,21/05/2020,2277,205888,2277,205888,,
nation,England,E92000001,22/05/2020,1798,207686,1798,207686,,
nation,England,E92000001,23/05/2020,1309,208995,1309,208995,,
nation,England,E92000001,24/05/2020,1206,210201,1206,210201,,
nation,England,E92000001,25/05/2020,1389,211590,1389,211590,,
nation,England,E92000001,26/05/2020,1461,213051,1461,213051,,
nation,England,E92000001,27/05/2020,1616,214667,1616,214667,,
nation,England,E92000001,28/05/2020,1575,216242,1575,216242,,
nation,England,E92000001,29/05/2020,1374,217616,1374,217616,,
nation,England,E92000001,30/05/2020,1010,218626,1010,218626,,
nation,England,E92000001,31/05/2020,984,219610,984,219610,,
nation,England,E92000001,01/06/2020,1319,220929,1319,220929,,
nation,England,E92000001,02/06/2020,1365,222294,1365,222294,,
nation,England,E92000001,03/06/2020,1251,223545,1251,223545,,
nation,England,E92000001,04/06/2020,1147,224692,1147,224692,,
nation,England,E92000001,05/06/2020,1020,225712,1020,225712,,
nation,England,E92000001,06/06/2020,723,226435,723,226435,,
nation,England,E92000001,07/06/2020,668,227103,668,227103,,
nation,England,E92000001,08/06/2020,990,228093,990,228093,,
nation,England,E92000001,09/06/2020,1066,229159,1066,229159,,
nation,England,E92000001,10/06/2020,1086,230245,1086,230245,,
nation,England,E92000001,11/06/2020,915,231160,915,231160,,
nation,England,E92000001,12/06/2020,938,232098,938,232098,,
nation,England,E92000001,13/06/2020,785,232883,785,232883,,
nation,England,E92000001,14/06/2020,752,233635,752,233635,,
nation,England,E92000001,15/06/2020,944,234579,944,234579,,
nation,England,E92000001,16/06/2020,996,235575,996,235575,,
nation,England,E92000001,17/06/2020,914,236489,914,236489,,
nation,England,E92000001,18/06/2020,938,237427,938,237427,,
nation,England,E92000001,19/06/2020,818,238245,817,238244,1,1
nation,England,E92000001,20/06/2020,626,238871,626,238870,0,1
nation,England,E92000001,21/06/2020,550,239421,550,239420,0,1
nation,England,E92000001,22/06/2020,821,240242,821,240241,0,1
nation,England,E92000001,23/06/2020,727,240969,726,240967,1,2
nation,England,E92000001,24/06/2020,732,241701,731,241698,1,3
nation,England,E92000001,25/06/2020,643,242344,643,242341,0,3
nation,England,E92000001,26/06/2020,640,242984,639,242980,1,4
nation,England,E92000001,27/06/2020,506,243490,504,243484,2,6
nation,England,E92000001,28/06/2020,413,243903,412,243896,1,7
nation,England,E92000001,29/06/2020,666,244569,664,244560,2,9
nation,England,E92000001,30/06/2020,578,245147,577,245137,1,10
nation,England,E92000001,01/07/2020,607,245754,604,245741,3,13
nation,England,E92000001,02/07/2020,561,246315,557,246298,4,17
nation,England,E92000001,03/07/2020,536,246851,535,246833,1,18
nation,England,E92000001,04/07/2020,385,247236,385,247218,0,18
nation,England,E92000001,05/07/2020,544,247780,543,247761,1,19
nation,England,E92000001,06/07/2020,664,248444,660,248421,4,23
nation,England,E92000001,07/07/2020,564,249008,561,248982,3,26
nation,England,E92000001,08/07/2020,682,249690,676,249658,6,32
nation,England,E92000001,09/07/2020,688,250378,682,250340,6,38
nation,England,E92000001,10/07/2020,524,250902,521,250861,3,41
nation,England,E92000001,11/07/2020,433,251335,429,251290,4,45
nation,England,E92000001,12/07/2020,351,251686,351,251641,0,45
nation,England,E92000001,13/07/2020,694,252380,694,252335,0,45
nation,England,E92000001,14/07/2020,661,253041,657,252992,4,49
nation,England,E92000001,15/07/2020,726,253767,722,253714,4,53
nation,England,E92000001,16/07/2020,644,254411,639,254353,5,58
nation,England,E92000001,17/07/2020,548,254959,547,254900,1,59
nation,England,E92000001,18/07/2020,473,255432,471,255371,2,61
nation,England,E92000001,19/07/2020,419,255851,414,255785,5,66
nation,England,E92000001,20/07/2020,769,256620,759,256544,10,76
nation,England,E92000001,21/07/2020,697,257317,691,257235,6,82
nation,England,E92000001,22/07/2020,764,258081,756,257991,8,90
nation,England,E92000001,23/07/2020,741,258822,736,258727,5,95
nation,England,E92000001,24/07/2020,720,259542,712,259439,8,103
nation,England,E92000001,25/07/2020,499,260041,496,259935,3,106
nation,England,E92000001,26/07/2020,518,260559,517,260452,1,107
nation,England,E92000001,27/07/2020,824,261383,814,261266,10,117
nation,England,E92000001,28/07/2020,796,262179,783,262049,13,130
nation,England,E92000001,29/07/2020,994,263173,979,263028,15,145
nation,England,E92000001,30/07/2020,879,264052,864,263892,15,160
nation,England,E92000001,31/07/2020,644,264696,635,264527,9,169
nation,England,E92000001,01/08/2020,508,265204,503,265030,5,174
nation,England,E92000001,02/08/2020,518,265722,514,265544,4,178
nation,England,E92000001,03/08/2020,963,266685,947,266491,16,194
nation,England,E92000001,04/08/2020,964,267649,937,267428,27,221
nation,England,E92000001,05/08/2020,974,268623,952,268380,22,243
nation,England,E92000001,06/08/2020,1005,269628,991,269371,14,257
nation,England,E92000001,07/08/2020,892,270520,881,270252,11,268
nation,England,E92000001,08/08/2020,648,271168,642,270894,6,274
nation,England,E92000001,09/08/2020,569,271737,565,271459,4,278
nation,England,E92000001,10/08/2020,1375,273112,1361,272820,14,292
nation,England,E92000001,11/08/2020,1247,274359,1221,274041,26,318
nation,England,E92000001,12/08/2020,1126,275485,1107,275148,19,337
nation,England,E92000001,13/08/2020,1036,276521,1030,276178,6,343
nation,England,E92000001,14/08/2020,1059,277580,1040,277218,19,362
nation,England,E92000001,15/08/2020,656,278236,655,277873,1,363
nation,England,E92000001,16/08/2020,534,278770,529,278402,5,368
nation,England,E92000001,17/08/2020,1159,279929,1150,279552,9,377
nation,England,E92000001,18/08/2020,955,280884,939,280491,16,393
nation,England,E92000001,19/08/2020,1109,281993,1086,281577,23,416
nation,England,E92000001,20/08/2020,1254,283247,1231,282808,23,439
nation,England,E92000001,21/08/2020,1031,284278,1014,283822,17,456
nation,England,E92000001,22/08/2020,732,285010,727,284549,5,461
nation,England,E92000001,23/08/2020,704,285714,701,285250,3,464
nation,England,E92000001,24/08/2020,1157,286871,1146,286396,11,475
nation,England,E92000001,25/08/2020,1085,287956,1069,287465,16,491
nation,England,E92000001,26/08/2020,1181,289137,1156,288621,25,516
nation,England,E92000001,27/08/2020,1356,290493,1330,289951,26,542
nation,England,E92000001,28/08/2020,1395,291888,1386,291337,9,551
nation,England,E92000001,29/08/2020,1051,292939,1047,292384,4,555
nation,England,E92000001,30/08/2020,987,293926,983,293367,4,559
nation,England,E92000001,31/08/2020,1279,295205,1272,294639,7,566
nation,England,E92000001,01/09/2020,1962,297167,1941,296580,21,587
nation,England,E92000001,02/09/2020,2696,299863,2643,299223,53,640
nation,England,E92000001,03/09/2020,2716,302579,2671,301894,45,685
nation,England,E92000001,04/09/2020,2637,305216,2605,304499,32,717
nation,England,E92000001,05/09/2020,2200,307416,2195,306694,5,722
nation,England,E92000001,06/09/2020,2079,309495,2069,308763,10,732
nation,England,E92000001,07/09/2020,3530,313025,3482,312245,48,780
nation,England,E92000001,08/09/2020,3071,316096,3035,315280,36,816
nation,England,E92000001,09/09/2020,2893,318989,2873,318153,20,836
nation,England,E92000001,10/09/2020,3143,322132,3123,321276,20,856
nation,England,E92000001,11/09/2020,2893,325025,2868,324144,25,881
nation,England,E92000001,12/09/2020,2224,327249,2216,326360,8,889
nation,England,E92000001,13/09/2020,1722,328971,1719,328079,3,892
nation,England,E92000001,14/09/2020,2941,331912,2915,330994,26,918
nation,England,E92000001,15/09/2020,3057,334969,3032,334026,25,943
nation,England,E92000001,16/09/2020,3778,338747,3753,337779,25,968
nation,England,E92000001,17/09/2020,3979,342726,3959,341738,20,988
nation,England,E92000001,18/09/2020,4290,347016,4266,346004,24,1012
nation,England,E92000001,19/09/2020,4215,351231,4210,350214,5,1017
nation,England,E92000001,20/09/2020,4652,355883,4645,354859,7,1024
nation,England,E92000001,21/09/2020,4727,360610,4715,359574,12,1036
nation,England,E92000001,22/09/2020,5400,366010,5379,364953,21,1057
nation,England,E92000001,23/09/2020,5933,371943,5913,370866,20,1077
nation,England,E92000001,24/09/2020,6361,378304,6340,377206,21,1098
nation,England,E92000001,25/09/2020,6105,384409,6090,383296,15,1113
nation,England,E92000001,26/09/2020,5703,390112,5698,388994,5,1118
nation,England,E92000001,27/09/2020,6084,396196,6075,395069,9,1127
nation,England,E92000001,28/09/2020,8641,404837,8625,403694,16,1143
nation,England,E92000001,29/09/2020,8833,413670,8798,412492,35,1178
nation,England,E92000001,30/09/2020,10663,424333,10632,423124,31,1209
nation,England,E92000001,01/10/2020,11445,435778,11417,434541,28,1237
nation,England,E92000001,02/10/2020,11719,447497,11692,446233,27,1264
nation,England,E92000001,03/10/2020,9820,457317,9810,456043,10,1274
nation,England,E92000001,04/10/2020,9967,467284,9958,466001,9,1283
nation,England,E92000001,05/10/2020,14220,481504,14186,480187,34,1317
nation,England,E92000001,06/10/2020,14458,495962,14430,494617,28,1345
nation,England,E92000001,07/10/2020,15420,511382,15389,510006,31,1376
nation,England,E92000001,08/10/2020,15454,526836,15436,525442,18,1394
nation,England,E92000001,09/10/2020,13169,540005,13141,538583,28,1422
nation,England,E92000001,10/10/2020,10305,550310,10291,548874,14,1436
nation,England,E92000001,11/10/2020,9792,560102,9783,558657,9,1445
nation,England,E92000001,12/10/2020,16459,576561,16433,575090,26,1471
nation,England,E92000001,13/10/2020,15679,592240,15644,590734,35,1506
nation,England,E92000001,14/10/2020,16659,608899,16639,607373,20,1526
nation,England,E92000001,15/10/2020,15461,624360,15426,622799,35,1561
nation,England,E92000001,16/10/2020,14784,639144,14751,637550,33,1594
nation,England,E92000001,17/10/2020,12493,651637,12478,650028,15,1609
nation,England,E92000001,18/10/2020,12001,663638,11985,662013,16,1625
nation,England,E92000001,19/10/2020,22423,686061,22394,684407,29,1654
nation,England,E92000001,20/10/2020,21705,707766,21656,706063,49,1703
nation,England,E92000001,21/10/2020,21833,729599,21806,727869,27,1730
nation,England,E92000001,22/10/2020,19888,749487,19869,747738,19,1749
nation,England,E92000001,23/10/2020,18379,767866,18348,766086,31,1780
nation,England,E92000001,24/10/2020,13743,781609,13724,779810,19,1799
nation,England,E92000001,25/10/2020,13363,794972,13353,793163,10,1809
