LAD20CD,LAD20NM,1981,1991,2001,2011,PopulationDensity,,,,,,
E07000178,Oxford,2295.441089,2414.380633,2943.885271,3331.052782,3555,,,,,,
E10000025,Oxfordshire,194.7188328,210.2101952,232.4391525,250.9843334,278,,,,,,
W06000009,Pembrokeshire,65.13568276,69.25903125,70.52822918,75.65692579,76,,,,,,
E07000122,Pendle,505.171803,502.4855355,526.9040028,528.1142992,566,,,,,,
E06000031,Peterborough,383.5333752,446.0562726,454.478473,534.7776883,628,,,,,,
E06000026,Plymouth,3013.8122,3047.888721,3014.751464,3210.832351,3315,,,,,,
E06000044,Portsmouth,4343.116667,4326.153496,4623.44236,5077.956297,5153,,,,,,
W06000023,Powys,21.2109606,23.0275208,24.38912059,25.66771954,26,,,,,,
E07000123,Preston,874.4055028,886.1285274,911.0856378,985.366601,1039,,,,,,
E06000038,Reading,3240.77467,3190.909361,3542.863368,3854.979598,4313,,,,,,
E09000026,Redbridge,3984.775894,4011.142358,4231.099306,4946.504626,5502,,,,,,
E06000003,Redcar and Cleveland,613.2255436,592.1703091,567.7160416,551.5859366,557,,,,,,
E07000236,Redditch,1223.850664,1439.718051,1452.805391,1552.306045,1604,,,,,,
E07000211,Reigate and Banstead,894.2118056,911.9826798,979.7210708,1067.297797,1168,,,,,,
W06000016,Rhondda Cynon Taf,555.5461249,548.437794,546.8251577,552.6579971,560,,,,,,
E07000124,Ribble Valley,91.86411115,88.76727907,92.52428853,97.96689373,105,,,,,,
E09000027,Richmond upon Thames,2740.841154,2800.570108,3002.669334,3258.085537,3401,,,,,,
E07000166,Richmondshire,31.29894014,33.50186259,35.64866928,39.40614974,38,,,,,,
E08000005,Rochdale,1304.834498,1278.482446,1298.662287,1338.781659,1415,,,,,,
E07000075,Rochford,437.7031432,451.2166001,469.7212984,498.4478676,512,,,,,,
E07000125,Rossendale,466.84613,475.8072228,475.6333616,492.4761593,513,,,,,,
E07000064,Rother,145.4161647,160.3383942,167.67977,177.8183276,183,,,,,,
E08000018,Rotherham,873.7481874,878.2083833,866.1609684,897.9023468,928,,,,,,
E07000220,Rugby,241.1928002,240.8424859,249.0734472,285.0219573,326,,,,,,
E07000212,Runnymede,898.5824064,919.8918,999.9525888,1031.641182,1129,,,,,,
E07000176,Rushcliffe,224.7602031,238.4150592,258.0274207,271.5552094,291,,,,,,
E07000092,Rushmoor,1984.53067,2113.612498,2330.183122,2402.535536,2556,,,,,,
E06000017,Rutland,78.5608723,82.4683571,90.51117601,97.86782802,107,,,,,,
E07000167,Ryedale,29.15373906,31.56922269,33.77362531,34.35111109,36,,,,,,
E08000006,Salford,2484.860706,2268.198532,2223.403095,2406.782486,2777,,,,,,
E08000028,Sandwell,3588.089608,3390.541487,3306.529186,3600.595613,3996,,,,,,
E07000168,Scarborough,121.0316116,130.134312,130.1575894,133.285341,133,,,,,,
E07000188,Sedgemoor,156.9962132,173.2698975,187.6595776,203.0896251,222,,,,,,
E08000014,Sefton,1904.504009,1849.183444,1807.19806,1748.582019,1784,,,,,,
E07000169,Selby,96.92390736,116.6297217,127.5989024,139.2405169,154,,,,,,
E07000111,Sevenoaks,290.035471,294.7425553,296.0371388,311.1686,326,,,,,,
E08000019,Sheffield,1442.78181,1362.220334,1394.916753,1502.181664,1513,,,,,,
E06000051,Shropshire,77.2538922,83.46824506,88.56633513,95.74682297,101,,,,,,
E06000039,Slough,2972.014541,3245.907584,3658.606289,4308.44542,4871,,,,,,
E08000029,Solihull,1110.223629,1121.026732,1119.080379,1159.252668,1213,,,,,,
E10000027,Somerset,120.9918937,133.4288229,144.3667472,153.6022055,166,,,,,,
E07000246,Somerset West and Taunton,95.49362159,105.5485511,115.6843175,121.9811739,133,,,,,,
E07000012,South Cambridgeshire,119.0284209,134.3230279,144.3083322,164.985443,180,,,,,,
E07000039,South Derbyshire,199.1234652,212.2635023,241.2112139,279.8091486,317,,,,,,
E12000008,South East,368.596051,393.2525459,419.5001816,452.7483963,486,,,,,,
E06000025,South Gloucestershire,405.7211054,443.3430144,494.1929477,528.6522021,584,,,,,,
E07000044,South Hams,74.20813561,87.49113132,92.31433866,93.77957401,100,,,,,,
E07000140,South Holland,82.16631857,89.67222264,102.0149686,117.6813769,127,,,,,,
E07000141,South Kesteven,102.8659454,115.5809656,132.3942855,141.9371813,152,,,,,,
E07000031,South Lakeland,59.53829249,63.10593998,66.62734743,67.50916465,68,,,,,,
E07000149,South Norfolk,102.0299554,113.0615311,121.9786848,136.6408081,156,,,,,,
E07000179,South Oxfordshire,171.5339634,176.0881189,188.9267108,197.8728999,220,,,,,,
E07000126,South Ribble,859.3383341,901.5332101,918.0699954,963.8974843,981,,,,,,
E07000189,South Somerset,134.8079965,147.7030099,157.4178025,168.1273264,180,,,,,,
E07000196,South Staffordshire,236.134874,258.9767366,259.9808555,265.4679108,271,,,,,,
E08000023,South Tyneside,2485.249261,2401.36292,2371.776065,2299.376751,2294,,,,,,
E12000009,South West,178.3834825,193.3811183,206.76468,221.8889312,239,,,,,,
E11000003,South Yorkshire,832.7350601,813.7868956,816.1761213,865.974107,886,,,,,,
