date,Delta,CumDelta
05/05/2022,0.0,14000.0
06/05/2022,0.0,14000.0
07/05/2022,0.0,14000.0
08/05/2022,0.0,14000.0
09/05/2022,0.0,14000.0
10/05/2022,0.0,14000.0
11/05/2022,0.0,14000.0
12/05/2022,0.0,14000.0
13/05/2022,0.0,14000.0
14/05/2022,0.0,14000.0
15/05/2022,0.0,14000.0
16/05/2022,0.0,14000.0
17/05/2022,0.0,14000.0
18/05/2022,0.0,14000.0
19/05/2022,0.0,14000.0
20/05/2022,0.0,14000.0
21/05/2022,0.0,14000.0
22/05/2022,0.0,14000.0
23/05/2022,0.0,14000.0
24/05/2022,0.0,14000.0
25/05/2022,0.0,14000.0
26/05/2022,0.0,14000.0
27/05/2022,0.0,14000.0
28/05/2022,0.0,14000.0
29/05/2022,0.0,14000.0
30/05/2022,0.0,14000.0
31/05/2022,0.0,14000.0
01/06/2022,0.0,14000.0
02/06/2022,0.0,14000.0
03/06/2022,0.0,14000.0
04/06/2022,0.0,14000.0
05/06/2022,0.0,14000.0
06/06/2022,0.0,14000.0
07/06/2022,0.0,14000.0
08/06/2022,0.0,14000.0
09/06/2022,0.0,14000.0
10/06/2022,0.0,14000.0
11/06/2022,0.0,14000.0
12/06/2022,0.0,14000.0
