FID,LAD20NM,R0orig,R0alp,R0dlt,R0omi
164,Huntingdonshire,1.118320201,1.675240507,1.947015082,3.370698372
165,Hyndburn,1.114515635,1.717494191,1.746789377,3.33301052
166,Inverclyde,1.081808401,1.758509664,1.988737625,3.597191294
167,Ipswich,1.113977387,1.611117253,2.070459132,3.359850373
168,Isle of Anglesey,1.128059506,1.788555269,2.205168601,3.588725168
169,Isle of Wight,1.15212461,1.688777168,2.036230037,3.492361377
170,Islington,1.079535371,1.617347496,1.921441149,2.889390245
171,Kensington and Chelsea,1.074796762,1.688627376,1.92558173,3.09981498
172,Kettering,1.111317033,1.731978116,2.018752557,3.356654948
173,King's Lynn and West Norfolk,1.082663498,1.645716415,2.01673257,3.29750759
174,"Kingston upon Hull, City of",1.123536697,1.605106908,1.89357265,3.169511435
175,Kingston upon Thames,1.090019464,1.623935909,1.880238849,3.149344215
176,Kirklees,1.06333466,1.575169426,1.653342012,2.863171865
177,Knowsley,1.071454954,1.662111228,1.926284363,3.161847952
178,Lambeth,1.052325139,1.565470043,1.864232895,2.759111513
179,Lancaster,1.064829966,1.661003642,1.850452093,3.695130037
180,Leeds,1.071479383,1.51329347,1.709722696,2.612420324
181,Leicester,1.07523729,1.545527157,1.71589218,2.818274714
182,Lewes,1.103301152,1.669557399,2.113636893,3.563778492
183,Lewisham,1.153429741,1.562248892,1.899704272,3.069013612
184,Lichfield,1.105502489,1.656354395,2.054505173,3.506021287
185,Lincoln,1.102889513,1.605636262,2.011531538,3.724090113
186,Lisburn and Castlereagh,1.085765723,1.684177403,2.000911239,3.564733652
187,Liverpool,1.215618874,1.497202709,1.850646812,3.295021246
188,Luton,1.059618175,1.571777809,1.828463702,2.997571716
189,Maidstone,1.072462379,1.513566251,1.979548051,3.264736488
190,Maldon,1.116542716,1.586891765,2.014159345,4.066679985
191,Malvern Hills,1.102167433,1.769874068,2.012366874,3.654742449
192,Manchester,1.049642549,1.521949195,1.700106483,2.710769257
193,Mansfield,1.115176047,1.6681544,1.978012639,3.303264449
194,Medway,1.071117589,1.450550877,1.979956327,2.876443049
195,Melton,1.114226045,1.732146446,2.014398958,3.743185531
196,Mendip,1.157740566,1.693178136,2.095580674,3.483776498
197,Merthyr Tydfil,1.071876402,1.503802445,2.236309205,4.15482695
198,Merton,1.221879555,1.618086627,1.900331659,3.378703631
199,Mid and East Antrim,1.103421778,1.59792529,1.91697295,3.622501346
200,Mid Devon,1.120216088,1.739576646,2.096995015,3.741718288
201,Mid Suffolk,1.149458963,1.735015808,2.004639598,3.538733732
202,Mid Sussex,1.094903039,1.645888207,1.961073243,3.318036538
203,Mid Ulster,1.111355863,1.650502177,1.895586823,3.29601714
204,Middlesbrough,1.06790977,1.653953767,1.89705134,3.269665508
205,Midlothian,1.112226881,1.811100029,1.825802435,3.523317138
206,Milton Keynes,1.111922832,1.582244907,1.892864599,3.012772018
207,Mole Valley,1.085907343,1.675808748,2.013904275,3.577336517
208,Monmouthshire,1.076043418,1.574342474,2.058527067,3.577531989
209,Moray,1.142479281,1.944760801,1.944602012,3.832277474
210,Na h-Eileanan Siar,1.12008711,1.787775858,2.150031122,5.193611125
211,Neath Port Talbot,1.055880057,1.503806335,2.017108712,3.172527807
212,New Forest,1.096959775,1.685271855,2.031478611,3.510642511
213,Newark and Sherwood,1.112130164,1.667156925,1.940961197,3.380003807
214,Newcastle upon Tyne,1.055801769,1.622712299,1.785478583,3.133454024
215,Newcastle-under-Lyme,1.118154925,1.643030193,2.08736386,3.301641429
216,Newham,1.024956169,1.460814961,1.853229423,3.089446659
217,Newport,1.052752622,1.52034816,2.00765462,3.235516357
218,"Newry, Mourne and Down",1.128035494,1.650572906,1.874863708,3.29473084
219,North Ayrshire,1.119404976,1.700159721,1.881533842,3.660569095
220,North Devon,1.082597406,1.676216344,1.926704539,4.042144911
221,North East Derbyshire,1.107288426,1.719029233,2.057446202,3.512728732
222,North East Lincolnshire,1.07818888,1.748263717,1.806120075,3.673657034
223,North Hertfordshire,1.105899188,1.64220832,1.96948019,3.536589416
224,North Kesteven,1.099176893,1.622271472,2.062599227,3.540793236
225,North Lanarkshire,1.061833214,1.61750378,1.786881878,2.889046335
226,North Lincolnshire,1.106797148,1.679360672,1.914651642,3.083245427
227,North Norfolk,1.120785795,1.65839623,2.076144407,3.722404346
228,North Somerset,1.116291963,1.631082566,1.990311697,3.333097766
229,North Tyneside,1.076377828,1.672527873,1.8113538,2.986898882
230,North Warwickshire,1.126309671,1.733908804,2.051958071,3.479537883
231,North West Leicestershire,1.097539462,1.732140148,1.960177617,3.379174309
232,Northampton,1.082684469,1.593042524,1.928409769,3.088556596
233,Northumberland,1.045585196,1.609868212,1.874255972,2.946056002
234,Norwich,1.12054274,1.627112492,2.026658143,3.343616584
235,Nottingham,1.084780259,1.603596189,1.834817406,2.86041679
