Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2021-12-06,37.0,94.5,6.3,29.4,1.0175455157021172,1.0214642169946049,1.6509664419635022,64.30696427806451,0.1429,103100.0,62900.0,3996.0,52.51303707808089,-2.008921251729079
2021-12-07,39.7,88.8,12.8,29.0,1.0157815593324802,1.019281209017619,1.7522446347188234,34.004365056986444,0.0846,67300.0,36900.0,3996.0,52.513036979244106,-2.008921267563592
2021-12-08,41.7,80.3,14.4,28.8,1.0159682844529172,1.0195110416570348,1.4494290508042311,1.0033314263596809,0.1786,71600.0,39800.0,3996.0,52.51303721268799,-2.0089211826533924
2021-12-09,42.5,88.6,8.3,29.1,1.0122901911219253,1.0149613321052056,1.2011945962808483,1.002547211833662,0.2571,75500.0,41800.0,3996.0,52.51303711471271,-2.00892125968301
2021-12-10,41.1,82.7,12.7,29.2,1.0121724719717011,1.0148151046086151,1.2707143641394043,1.0025224631404843,0.2643,91400.0,49800.0,3996.0,52.513036986490846,-2.0089212178442817
2021-12-11,42.2,95.6,6.2,29.6,1.0176625578927572,1.0216032648669469,1.3276090957703643,1.0036947001193786,0.1857,82700.0,49000.0,3996.0,52.51303696772086,-2.008921178982399
2021-12-12,53.3,92.6,8.6,29.7,1.0141259705491896,1.0172290254757188,2.0462594383798565,1.0029404102257162,0.2571,96600.0,57600.0,3996.0,52.51303711985776,-2.008921210766938
2021-12-13,52.3,90.3,8.4,29.8,1.0128699057377897,1.0156751326689684,1.9982510952109496,1.0026727009159335,0.25,84500.0,52000.0,3996.0,52.513037027765215,-2.0089213446101493
2021-12-14,51.9,95.3,6.4,29.9,1.0119592911850106,1.014548558096926,2.467480068920752,29.30796583603997,0.15,69300.0,39100.0,3996.0,52.51303702565563,-2.0089211357512538
2021-12-15,52.0,83.4,5.1,30.0,1.0098484054228027,1.0119381725519314,2.1820708806952642,19.436159894649645,0.1214,73800.0,41800.0,3996.0,52.513037086375626,-2.008921253940237
2021-12-16,51.4,77.1,3.6,30.3,1.00831816954246,1.0100459109488402,1.9649298922580776,1.0017015512620142,0.1071,79800.0,44900.0,3996.0,52.51303724660109,-2.0089212655274404
2021-12-17,44.8,88.9,4.7,30.4,1.010156229782084,1.0123179823745112,1.5538705136763493,1.0020943446085593,0.1857,98700.0,53200.0,3996.0,52.5130371406591,-2.008921233822779
2021-12-18,43.2,100.0,6.6,30.3,1.0166236426180058,1.0203125598646616,1.5867243223872376,1.0034764020943994,0.1214,104900.0,58400.0,3996.0,52.51303712022397,-2.0089213153362055
2021-12-19,37.6,100.0,4.2,30.2,1.0157207815004492,1.019195352263058,3.0971474678225146,20.968665550764587,0.1929,112100.0,61900.0,3996.0,52.51303709674743,-2.0089211462462497
2021-12-20,40.4,93.5,5.9,30.0,1.0163528607991696,1.0199755759029276,3.457258636732268,17.844224499036677,0.1,87900.0,49100.0,3996.0,52.51303721736391,-2.0089211132449223
2021-12-21,39.0,79.9,6.0,29.9,1.015173104469279,1.0185163038718432,3.9311048672412574,1.0031682696972115,0.1857,86400.0,45400.0,3996.0,52.51303721802583,-2.0089211464535284
2021-12-22,34.3,95.7,6.6,29.7,1.0138158362608638,1.0168378701623573,3.7774599229419334,1.0028786135700958,0.15,94900.0,46200.0,3996.0,52.513037008097335,-2.0089212439766717
2021-12-23,44.3,100.0,5.3,29.4,1.0117842403694517,1.0143262873060483,3.2086993862465656,1.00244462126315,0.1143,106500.0,49900.0,3996.0,52.51303696411446,-2.0089212896750688
2021-12-24,44.8,100.0,6.0,29.3,1.0132667710182557,1.0161578569541474,1.4905421114202408,1.0027620272214364,0.1214,79900.0,33800.0,3996.0,52.513037037848015,-2.0089211653525867
2021-12-25,41.2,99.1,13.2,29.3,1.019271155103771,1.0235769400438073,2.3316621149507384,1.0040469404586123,0.0786,30800.0,10100.0,3996.0,52.51303702924679,-2.0089212086499106
2021-12-26,42.5,99.8,6.7,29.2,1.0172570906625722,1.0210867393922027,5.051930358777223,1.003616861861888,0.1429,105600.0,47600.0,3996.0,52.51303706326179,-2.0089212849600746
2021-12-27,45.3,100.0,7.7,28.9,1.0181052430330852,1.022133449288668,4.952491516281559,1.0037990995344697,0.1429,143000.0,68500.0,3996.0,52.51303716511061,-2.00892110951213
2021-12-28,47.8,94.1,8.5,28.9,1.0168312358257696,1.0205580657334044,6.2968345129174725,1.0035271634874008,0.1786,147700.0,68600.0,3996.0,52.51303702563472,-2.0089213505554886
2021-12-29,49.6,91.3,8.8,29.2,1.0149001567538454,1.0181711778557965,4.580125380543691,1.003114397086622,0.15,139000.0,64700.0,3996.0,52.51303709785169,-2.0089212231055633
2021-12-30,56.0,97.0,9.7,29.4,1.0131454927978514,1.016002580795201,3.621303734756292,1.0027392037235032,0.1214,126400.0,59800.0,3996.0,52.51303721045345,-2.0089214021574424
2021-12-31,55.1,92.5,10.0,29.6,1.0145088622198632,1.0176860990718342,1.9464526185277184,1.003031581084509,0.2714,106000.0,51400.0,3996.0,52.51303703519075,-2.0089213027239823
2022-01-03,46.6,83.1,7.7,29.3,1.018390137303817,1.0224767075424772,4.811297906358692,38.56195271051491,0.1857,158800.0,77600.0,3996.0,52.5130371306996,-2.0089212248167527
2022-01-04,38.8,85.1,10.6,29.2,1.0163189920386315,1.0199174566661826,3.53475596946296,22.865826297514094,0.1643,135300.0,63200.0,3996.0,52.51303707035175,-2.008921223870382
2022-01-05,36.7,83.8,9.3,29.6,1.0145127309083006,1.01768573060951,2.8055427845846626,16.332124111211115,0.2929,117100.0,52500.0,3996.0,52.513037008428434,-2.008921433410814
2022-01-06,34.8,93.8,7.2,29.6,1.0123914781697774,1.0150653233204738,1.3776890841208058,10.528842889069104,0.15,108600.0,47700.0,3996.0,52.513036978200745,-2.0089212323476833
2022-01-07,38.1,80.5,8.7,29.4,1.0150054984748167,1.018292680912255,0.3561077806562014,7.1552974022526605,0.1643,127500.0,53300.0,3996.0,52.513037082515346,-2.0089213043449363
2022-01-08,42.6,91.1,9.8,29.1,1.0219628326840065,1.026882460388266,0.3522729655659367,16.611149036316508,0.1,130600.0,56500.0,3996.0,52.513036985509245,-2.008921250995037
2022-01-09,39.0,85.9,6.3,29.2,1.0223273325052316,1.0273305641493085,1.3018955867032516,25.725289336237484,0.3,150000.0,62400.0,3996.0,52.51303704428522,-2.0089212189543004
2022-01-10,41.7,98.8,5.6,29.6,1.0213995461618572,1.0261831778849542,0.4951225755195497,18.771206850582693,0.1357,83500.0,36300.0,3996.0,52.513037121254634,-2.008921330435213
2022-01-11,45.0,96.9,5.5,30.0,1.0198020141612971,1.0242092436424797,0.1913027042946198,17.662743631243245,0.1643,63500.0,27600.0,3996.0,52.51303696351519,-2.0089213564955886
2022-01-12,34.9,94.1,2.8,30.3,1.016581035220375,1.0202316522792076,-0.0769729941755679,16.07301748482795,0.3533,62300.0,27300.0,3996.0,52.51303714249145,-2.0089210689871955
