date,alpha,original
26/01/2021,1693612,1627338
27/01/2021,1716056,1627338
28/01/2021,1737271,1627338
29/01/2021,1756510,1627338
30/01/2021,1771222,1627338
31/01/2021,1784661,1627338
01/02/2021,1804434,1627338
02/02/2021,1821792,1627338
03/02/2021,1838945,1627338
04/02/2021,1854949,1627338
05/02/2021,1868820,1627338
06/02/2021,1879342,1627338
07/02/2021,1889407,1627338
08/02/2021,1903261,1627338
09/02/2021,1915520,1627338
10/02/2021,1927389,1627338
11/02/2021,1938661,1627338
12/02/2021,1949319,1627338
13/02/2021,1957116,1627338
14/02/2021,1964688,1627338
15/02/2021,1977297,1627338
16/02/2021,1988270,1627338
17/02/2021,1998416,1627338
18/02/2021,2008453,1627338
19/02/2021,2017461,1627338
20/02/2021,2024438,1627338
21/02/2021,2031292,1627338
22/02/2021,2041302,1627338
23/02/2021,2049610,1627338
24/02/2021,2057022,1627338
25/02/2021,2063764,1627338
26/02/2021,2069481,1627338
27/02/2021,2073612,1627338
28/02/2021,2077602,1627338
01/03/2021,2083635,1627338
02/03/2021,2089415,1627338
03/03/2021,2094570,1627338
04/03/2021,2099441,1627338
05/03/2021,2104039,1627338
06/03/2021,2107768,1627338
07/03/2021,2111347,1627338
08/03/2021,2117013,1627338
09/03/2021,2122359,1627338
10/03/2021,2127450,1627338
11/03/2021,2132178,1627338
12/03/2021,2136828,1627338
13/03/2021,2140332,1627338
14/03/2021,2143952,1627338
15/03/2021,2149462,1627338
16/03/2021,2154274,1627338
17/03/2021,2159214,1627338
18/03/2021,2163799,1627338
19/03/2021,2168043,1627338
20/03/2021,2171490,1627338
21/03/2021,2176083,1627338
22/03/2021,2181381,1627338
23/03/2021,2185855,1627338
24/03/2021,2191066,1627338
25/03/2021,2195642,1627338
26/03/2021,2199362,1627338
27/03/2021,2202427,1627338
28/03/2021,2206799,1627338
29/03/2021,2210134,1627338
30/03/2021,2213182,1627338
31/03/2021,2216423,1627338
01/04/2021,2219391,1627338
02/04/2021,2221562,1627338
03/04/2021,2223603,1627338
04/04/2021,2225567,1627338
05/04/2021,2227784,1627338
06/04/2021,2230415,1627338
07/04/2021,2233034,1627338
08/04/2021,2235549,1627338
09/04/2021,2237894,1627338
10/04/2021,2239787,1627338
11/04/2021,2241684,1627338
12/04/2021,2243922,1627338
13/04/2021,2245833,1627338
14/04/2021,2247740,1627338
15/04/2021,2249536,1627338
16/04/2021,2251324,1627338
17/04/2021,2252590,1627338
18/04/2021,2254642,1627338
19/04/2021,2256665,1627338
20/04/2021,2258532,1627338
21/04/2021,2260546,1627338
22/04/2021,2262310,1627338
23/04/2021,2263773,1627338
24/04/2021,2264881,1627338
25/04/2021,2266483,1627338
26/04/2021,2268358,1627338
27/04/2021,2269821,1627338
28/04/2021,2271526,1627338
29/04/2021,2272998,1627338
30/04/2021,2274154,1627338
01/05/2021,2275048,1627338
02/05/2021,2275990,1627338
03/05/2021,2277253,1627338
04/05/2021,2278741,1627338
05/05/2021,2280184,1627338
06/05/2021,2281428,1627338
07/05/2021,2282439,1627338
08/05/2021,2283203,1627338
09/05/2021,2284326,1627338
10/05/2021,2285574,1627338
11/05/2021,2286525,1627338
12/05/2021,2287421,1627338
13/05/2021,2288204,1627338
14/05/2021,2288854,1627338
15/05/2021,2289367,1627338
16/05/2021,2289946,1627338
17/05/2021,2290743,1627338
18/05/2021,2291451,1627338
19/05/2021,2292110,1627338
20/05/2021,2292644,1627338
21/05/2021,2293098,1627338
22/05/2021,2293448,1627338
23/05/2021,2293819,1627338
24/05/2021,2294313,1627338
25/05/2021,2294776,1627338
26/05/2021,2295258,1627338
27/05/2021,2295682,1627338
28/05/2021,2296045,1627338
29/05/2021,2296316,1627338
30/05/2021,2296565,1627338
