date,Original,Alpha,Delta,Omicron,cumCases
15/09/2020,334969,0,0,0,334969
16/09/2020,338747,0,0,0,338747
17/09/2020,342726,0,0,0,342726
18/09/2020,347016,0,0,0,347016
19/09/2020,351231,0,0,0,351231
20/09/2020,355883,0,0,0,355883
21/09/2020,360610,0,0,0,360610
22/09/2020,366010,0,0,0,366010
23/09/2020,371943,0,0,0,371943
24/09/2020,378304,0,0,0,378304
25/09/2020,384409,0,0,0,384409
26/09/2020,390112,0,0,0,390112
27/09/2020,396196,0,0,0,396196
28/09/2020,404837,0,0,0,404837
29/09/2020,413670,0,0,0,413670
30/09/2020,424333,0,0,0,424333
01/10/2020,435765,13,0,0,435778
02/10/2020,447484,13,0,0,447497
03/10/2020,457304,13,0,0,457317
04/10/2020,467271,13,0,0,467284
05/10/2020,481491,13,0,0,481504
06/10/2020,495949,13,0,0,495962
07/10/2020,511369,13,0,0,511382
08/10/2020,526810,26,0,0,526836
09/10/2020,539966,39,0,0,540005
10/10/2020,550271,39,0,0,550310
11/10/2020,560014,88,0,0,560102
12/10/2020,576460,101,0,0,576561
13/10/2020,592139,101,0,0,592240
14/10/2020,608798,101,0,0,608899
15/10/2020,624209,151,0,0,624360
16/10/2020,638993,151,0,0,639144
17/10/2020,651473,164,0,0,651637
18/10/2020,663474,164,0,0,663638
19/10/2020,685897,164,0,0,686061
20/10/2020,707576,190,0,0,707766
21/10/2020,729185,414,0,0,729599
22/10/2020,748890,597,0,0,749487
23/10/2020,767191,675,0,0,767866
24/10/2020,780856,753,0,0,781609
25/10/2020,794193,779,0,0,794972
26/10/2020,817200,805,0,0,818005
27/10/2020,837931,845,0,0,838776
28/10/2020,858484,845,0,0,859329
29/10/2020,878538,1083,0,0,879621
30/10/2020,898296,1230,0,0,899526
31/10/2020,912823,1297,0,0,914120
01/11/2020,925896,1866,0,0,927762
02/11/2020,953485,2749,0,0,956234
03/11/2020,976126,2844,0,0,978970
04/11/2020,997126,2925,0,0,1000051
05/11/2020,1016953,4343,0,0,1021296
06/11/2020,1037646,4884,0,0,1042530
07/11/2020,1054524,4912,0,0,1059436
08/11/2020,1071362,6354,0,0,1077716
09/11/2020,1099380,6942,0,0,1106322
10/11/2020,1124089,7108,0,0,1131197
11/11/2020,1148573,7724,0,0,1156297
12/11/2020,1168781,9886,0,0,1178667
13/11/2020,1188100,12625,0,0,1200725
14/11/2020,1202520,14530,0,0,1217050
15/11/2020,1215613,15884,0,0,1231497
16/11/2020,1239624,16063,0,0,1255687
17/11/2020,1258816,17591,0,0,1276407
18/11/2020,1275900,19094,0,0,1294994
19/11/2020,1290482,20342,0,0,1310824
20/11/2020,1304892,20926,0,0,1325818
21/11/2020,1314860,21787,0,0,1336647
22/11/2020,1323876,23005,0,0,1346881
23/11/2020,1337786,25625,0,0,1363411
24/11/2020,1349248,28455,0,0,1377703
25/11/2020,1360074,31827,0,0,1391901
26/11/2020,1369122,35294,0,0,1404416
27/11/2020,1377667,39251,0,0,1416918
28/11/2020,1383699,42585,0,0,1426284
29/11/2020,1389194,46180,0,0,1435374
30/11/2020,1397836,52833,0,0,1450669
01/12/2020,1405084,59378,0,0,1464462
02/12/2020,1411759,66437,0,0,1478196
03/12/2020,1417487,73537,0,0,1491024
04/12/2020,1422817,81304,0,0,1504121
05/12/2020,1426612,87835,0,0,1514447
06/12/2020,1430243,95274,0,0,1525517
07/12/2020,1435356,107883,0,0,1543239
08/12/2020,1439581,120627,0,0,1560208
09/12/2020,1443304,134676,0,0,1577980
10/12/2020,1446510,150331,0,0,1596841
11/12/2020,1449901,167152,0,0,1617053
12/12/2020,1452595,180730,0,0,1633325
13/12/2020,1455604,196143,0,0,1651747
14/12/2020,1460444,221346,0,0,1681790
15/12/2020,1465161,246317,0,0,1711478
16/12/2020,1469965,272174,0,0,1742139
17/12/2020,1474623,297678,0,0,1772301
18/12/2020,1479559,325166,0,0,1804725
19/12/2020,1482888,344032,0,0,1826920
20/12/2020,1487255,369219,0,0,1856474
21/12/2020,1493579,406341,0,0,1899920
22/12/2020,1499562,442099,0,0,1941661
23/12/2020,1504978,475066,0,0,1980044
24/12/2020,1509045,500285,0,0,2009330
25/12/2020,1510812,511444,0,0,2022256
26/12/2020,1515848,543869,0,0,2059717
27/12/2020,1521566,581400,0,0,2102966
28/12/2020,1526876,616934,0,0,2143810
29/12/2020,1536339,681527,0,0,2217866
30/12/2020,1544405,737704,0,0,2282109
31/12/2020,1550303,779628,0,0,2329931
01/01/2021,1553801,805009,0,0,2358810
02/01/2021,1560391,853847,0,0,2414238
03/01/2021,1566301,898598,0,0,2464899
04/01/2021,1574417,961400,0,0,2535817
05/01/2021,1581105,1014309,0,0,2595414
06/01/2021,1586908,1061257,0,0,2648165
07/01/2021,1592096,1104201,0,0,2696297
08/01/2021,1596687,1143103,0,0,2739790
09/01/2021,1600450,1175759,0,0,2776209
10/01/2021,1603862,1206096,0,0,2809958
11/01/2021,1609154,1254322,0,0,2863476
12/01/2021,1613598,1295846,0,0,2909444
13/01/2021,1617593,1334151,0,0,2951744
14/01/2021,1621250,1370153,0,0,2991403
15/01/2021,1624713,1404567,0,0,3029280
16/01/2021,1627338,1430353,0,0,3057691
17/01/2021,1627338,1454914,0,0,3084667
18/01/2021,1627338,1493214,0,0,3126601
19/01/2021,1627338,1527165,0,0,3163657
20/01/2021,1627338,1557199,0,0,3196335
21/01/2021,1627338,1584518,0,0,3225967
22/01/2021,1627338,1610173,0,0,3253708
23/01/2021,1627338,1629121,0,0,3274133
24/01/2021,1627338,1643901,0,0,3290016
25/01/2021,1627338,1670009,0,0,3317987
26/01/2021,1627338,1693612,0,0,3343197
27/01/2021,1627338,1716056,0,0,3367096
28/01/2021,1627338,1737271,0,0,3389618
29/01/2021,1627338,1756510,0,0,3409980
30/01/2021,1627338,1771222,0,0,3425504
31/01/2021,1627338,1784661,0,0,3439642
01/02/2021,1627338,1804434,0,0,3460406
02/02/2021,1627338,1821792,0,0,3478601
03/02/2021,1627338,1838945,0,0,3496549
04/02/2021,1627338,1854949,0,0,3513265
05/02/2021,1627338,1868820,0,0,3527727
06/02/2021,1627338,1879342,0,0,3538678
07/02/2021,1627338,1889407,0,0,3549135
08/02/2021,1627338,1903261,0,0,3563505
09/02/2021,1627338,1915520,0,0,3576201
10/02/2021,1627338,1927389,0,0,3588473
11/02/2021,1627338,1938661,0,0,3600110
12/02/2021,1627338,1949319,0,0,3611096
13/02/2021,1627338,1957116,0,0,3619120
14/02/2021,1627338,1964688,0,0,3626900
15/02/2021,1627338,1977297,0,0,3639853
16/02/2021,1627338,1988270,0,0,3651123
17/02/2021,1627338,1998416,0,0,3661542
18/02/2021,1627338,2008453,0,0,3671846
19/02/2021,1627338,2017461,0,0,3681092
20/02/2021,1627338,2024438,0,0,3688252
21/02/2021,1627338,2031292,0,0,3695284
22/02/2021,1627338,2041302,0,0,3705561
23/02/2021,1627338,2049610,0,0,3714096
24/02/2021,1627338,2057022,0,0,3721715
25/02/2021,1627338,2063764,0,0,3728650
26/02/2021,1627338,2069481,0,0,3734534
27/02/2021,1627338,2073612,0,0,3738788
28/02/2021,1627338,2077602,0,0,3742900
01/03/2021,1627338,2083635,0,0,3749114
02/03/2021,1627338,2089415,0,0,3755065
03/03/2021,1627338,2094570,0,0,3760370
04/03/2021,1627338,2099441,0,0,3765381
05/03/2021,1627338,2104039,0,0,3770109
06/03/2021,1627338,2107768,0,0,3773941
07/03/2021,1627338,2111347,0,0,3777618
08/03/2021,1627338,2117013,0,0,3783436
09/03/2021,1627338,2122359,0,0,3788923
10/03/2021,1627338,2127450,0,0,3794146
11/03/2021,1627338,2132178,0,0,3798994
12/03/2021,1627338,2136828,0,0,3803760
13/03/2021,1627338,2140332,0,0,3807350
14/03/2021,1627338,2143952,0,0,3811057
15/03/2021,1627338,2149462,0,0,3816694
16/03/2021,1627338,2154274,0,0,3821613
17/03/2021,1627338,2159214,0,0,3826659
18/03/2021,1627338,2163799,0,0,3831339
19/03/2021,1627338,2168043,0,0,3835668
20/03/2021,1627338,2171490,0,0,3839181
21/03/2021,1627338,2176083,0,0,3843858
22/03/2021,1627338,2181381,1,0,3849257
23/03/2021,1627338,2185855,3,0,3853820
24/03/2021,1627338,2191066,6,0,3859139
25/03/2021,1627338,2195642,9,0,3863813
26/03/2021,1627338,2199362,12,0,3867616
27/03/2021,1627338,2202427,15,0,3870752
28/03/2021,1627338,2206799,20,0,3875228
29/03/2021,1627338,2210134,27,0,3878650
30/03/2021,1627338,2213182,37,0,3881785
31/03/2021,1627338,2216423,51,0,3885126
01/04/2021,1627338,2219391,67,0,3888193
02/04/2021,1627338,2221562,81,0,3890441
03/04/2021,1627338,2223603,96,0,3892560
04/04/2021,1627338,2225567,112,0,3894603
05/04/2021,1627338,2227784,137,0,3896917
06/04/2021,1627338,2230415,173,0,3899672
07/04/2021,1627338,2233034,216,0,3902424
08/04/2021,1627338,2235549,264,0,3905075
09/04/2021,1627338,2237894,316,0,3907556
10/04/2021,1627338,2239787,363,0,3909565
11/04/2021,1627338,2241684,415,0,3911585
12/04/2021,1627338,2243922,489,0,3913983
13/04/2021,1627338,2245833,562,0,3916043
14/04/2021,1627338,2247740,645,0,3918111
15/04/2021,1627338,2249536,733,0,3920070
16/04/2021,1627338,2251324,831,0,3922033
17/04/2021,1627338,2252590,908,0,3923431
18/04/2021,1627338,2254642,1044,0,3925712
19/04/2021,1627338,2256665,1198,0,3927980
20/04/2021,1627338,2258532,1360,0,3930092
21/04/2021,1627338,2260546,1556,0,3932391
22/04/2021,1627338,2262310,1746,0,3934423
23/04/2021,1627338,2263773,1920,0,3936124
24/04/2021,1627338,2264881,2064,0,3937424
25/04/2021,1627338,2266483,2290,0,3939321
26/04/2021,1627338,2268358,2601,0,3941589
27/04/2021,1627338,2269821,2882,0,3943397
28/04/2021,1627338,2271526,3256,0,3945550
29/04/2021,1627338,2272998,3621,0,3947451
30/04/2021,1627338,2274154,3942,0,3948979
01/05/2021,1627338,2275048,4218,0,3950188
02/05/2021,1627338,2275990,4540,0,3951493
03/05/2021,1627338,2277253,5027,0,3953299
04/05/2021,1627338,2278741,5671,0,3955496
05/05/2021,1627338,2280184,6368,0,3957699
06/05/2021,1627338,2281428,7035,0,3959665
07/05/2021,1627338,2282439,7636,0,3961321
08/05/2021,1627338,2283203,8138,0,3962621
09/05/2021,1627338,2284326,8950,0,3964606
10/05/2021,1627338,2285574,9970,0,3966930
11/05/2021,1627338,2286525,10847,0,3968801
12/05/2021,1627338,2287421,11779,0,3970669
13/05/2021,1627338,2288204,12697,0,3972406
14/05/2021,1627338,2288854,13556,0,3973944
15/05/2021,1627338,2289367,14323,0,3975248
16/05/2021,1627338,2289946,15303,0,3976834
17/05/2021,1627338,2290743,16810,0,3979175
18/05/2021,1627338,2291451,18309,0,3981416
19/05/2021,1627338,2292110,19879,0,3983676
20/05/2021,1627338,2292644,21319,0,3985676
21/05/2021,1627338,2293098,22713,0,3987546
22/05/2021,1627338,2293448,23951,0,3989152
23/05/2021,1627338,2293819,25478,0,3991070
24/05/2021,1627338,2294313,27708,0,3993819
25/05/2021,1627338,2294776,30018,0,3996616
26/05/2021,1627338,2295258,32689,0,3999794
27/05/2021,1627338,2295682,35319,0,4002869
28/05/2021,1627338,2296045,37867,0,4005798
29/05/2021,1627338,2296316,40044,0,4008259
30/05/2021,1627338,2296565,42381,0,4010857
31/05/2021,1627338,2296848,45254,0,4014027
01/06/2021,1627338,2297221,49378,0,4018542
02/06/2021,1627338,2297604,54015,0,4023581
03/06/2021,1627338,2297959,58771,0,4028710
04/06/2021,1627338,2298265,63334,0,4033595
05/06/2021,1627338,2298487,67064,0,4037559
06/06/2021,1627338,2298720,71547,0,4042288
07/06/2021,1627338,2299023,78016,0,4049078
08/06/2021,1627338,2299289,84364,0,4055708
09/06/2021,1627338,2299534,91021,0,4062627
10/06/2021,1627338,2299742,97516,0,4069344
11/06/2021,1627338,2299913,103841,0,4075854
12/06/2021,1627338,2300031,109135,0,4081276
13/06/2021,1627338,2300135,115095,0,4087351
14/06/2021,1627338,2300280,123874,0,4096292
15/06/2021,1627338,2300419,132865,0,4105441
16/06/2021,1627338,2300552,142122,0,4114852
17/06/2021,1627338,2300677,151497,0,4124375
18/06/2021,1627338,2300784,160140,0,4133147
19/06/2021,1627338,2300864,167167,0,4140273
20/06/2021,1627338,2300947,175264,0,4148477
21/06/2021,1627338,2301069,187809,0,4161183
22/06/2021,1627338,2301192,201208,0,4174747
23/06/2021,1627338,2301318,215839,0,4189552
24/06/2021,1627338,2301437,230751,0,4204634
25/06/2021,1627338,2301547,245490,0,4219535
26/06/2021,1627338,2301639,258835,0,4233020
27/06/2021,1627338,2301735,274089,0,4248427
28/06/2021,1627338,2301869,297372,0,4271938
29/06/2021,1627338,2301988,320402,0,4295188
30/06/2021,1627338,2302098,344121,0,4319128
01/07/2021,1627338,2302196,368169,0,4343395
02/07/2021,1627338,2302274,390261,0,4365683
03/07/2021,1627338,2302335,410720,0,4386318
04/07/2021,1627338,2302388,432330,0,4408109
05/07/2021,1627338,2302455,462259,0,4438302
06/07/2021,1627338,2302520,493576,0,4469909
07/07/2021,1627338,2302584,527516,0,4504179
08/07/2021,1627338,2302634,557124,0,4534088
09/07/2021,1627338,2302677,585864,0,4563133
10/07/2021,1627338,2302710,610991,0,4588538
11/07/2021,1627338,2302740,638096,0,4615955
12/07/2021,1627338,2302782,678099,0,4656426
13/07/2021,1627338,2302825,720834,0,4699670
14/07/2021,1627338,2302873,770550,0,4749989
15/07/2021,1627338,2302925,827427,0,4807568
16/07/2021,1627338,2302968,877930,0,4858704
17/07/2021,1627338,2302996,912764,0,4893982
18/07/2021,1627338,2303021,945502,0,4927144
19/07/2021,1627338,2303051,988330,0,4970533
20/07/2021,1627338,2303074,1023802,0,5006475
21/07/2021,1627338,2303093,1055046,0,5038138
22/07/2021,1627338,2303108,1082382,0,5065845
23/07/2021,1627338,2303120,1106585,0,5090380
24/07/2021,1627338,2303129,1126583,0,5110655
25/07/2021,1627338,2303137,1145954,0,5130297
26/07/2021,1627338,2303148,1172118,0,5156834
27/07/2021,1627338,2303158,1197767,0,5182855
28/07/2021,1627338,2303169,1224300,0,5209780
29/07/2021,1627338,2303179,1249284,0,5235139
30/07/2021,1627338,2303187,1271058,0,5257245
31/07/2021,1627338,2303194,1289223,0,5275692
01/08/2021,1627338,2303201,1307562,0,5294320
02/08/2021,1627338,2303211,1333641,0,5320895
03/08/2021,1627338,2303220,1360110,0,5347954
