longitude,langitude
-1.106917895,52.99628842
-2.237175556,51.84806722
-1.157538824,50.80469353
0.378502389,51.41907278
1.695459647,52.61506176
0.055620765,51.47364529
-0.585575455,51.25215636
-0.067860476,51.55200048
-2.72269381,53.34805381
-1.337914706,54.30249882
-0.218081875,51.49101875
-1.0770388,52.5130032
-0.103992105,51.58957632
0.107242364,51.76373636
-1.529505143,54.03797057
-0.339884762,51.59260143
-0.856314545,51.29102
-1.233809091,54.67963636
0.567998,50.867725
-0.998807857,50.86000214
0.210157444,51.57136611
-0.28525,51.66668467
-1.931220714,53.36785143
-0.436021818,51.54418636
-1.36253125,52.59476375
-0.342428182,51.02376
-0.359679,51.4689885
-0.197809655,52.34241897
-2.3794375,53.75848937
1.156214,52.05624938
-1.260195385,50.69042974
-0.11066625,51.5483125
-0.194547778,51.50206278
0.437505024,52.73286786
-0.28519875,51.39497
-1.73368,53.66037696
-2.845168667,53.42886933
-0.11903,51.45578619
-2.792566667,54.06955926
-1.550214242,53.81054394
-1.12293619,52.63391714
0.027882429,50.84258667
-0.022554611,51.44994444
-1.838424545,52.68048318
-0.553684545,53.22547727
-2.923681,53.409074
-0.43228,51.89696474
0.548602462,51.25092077
0.745995529,51.70993706
-2.322989091,52.16066545
-2.22841875,53.45426313
-1.183095833,53.15608722
0.536780136,51.37638227
-0.876875,52.78778125
-2.551616176,51.19387706
-0.1914045,51.4088805
-3.534525,50.86291792
1.054838933,52.22817133
-0.096477077,51.02545923
-1.225788,54.5458705
-0.755402632,52.03901053
-0.326132381,51.24661476
-1.579592941,50.83847
-0.920092857,53.1058581
-1.636323462,54.99352962
-2.254687917,53.03048458
0.03525235,51.5321525
-4.010954444,51.0888537
-1.4147884,53.247342
-0.091312667,53.55188
-0.200072083,51.967395
-0.479533462,53.10100077
-0.630801176,53.58755647
1.231555294,52.84914941
-2.836257429,51.39936429
-1.504886,55.0244275
-1.621283529,52.56053588
-1.401572105,52.74357658
-1.756318636,55.17346485
1.280389923,52.63332923
-1.1748305,52.9626635
-1.479590588,52.50407412
-1.091251,52.589912
-2.1036555,53.544218
-1.233565,51.75035583
-2.2002865,53.8555805
-0.269495,52.58355773
-4.1231375,50.3909015
-1.071233571,50.81210857
-2.701229545,53.77748091
-0.98335875,51.45567813
0.071987238,51.58080857
-1.059978636,54.56997273
-1.935773333,52.2956675
-0.192091053,51.25006789
-2.437900417,53.85745417
-0.317118333,51.44671056
-2.1707855,53.602078
0.672023231,51.59743308
-2.261564286,53.69550286
0.5162268,50.9062505
-1.31098619,53.42299
-1.2844025,52.377835
-0.527421429,51.39363286
-1.0733796,52.912418
-0.764662308,51.27629385
-0.686491875,52.65990063
-0.833443,54.187408
-2.3487645,53.496322
-2.00892125,52.51303708
-0.4959612,54.3223196
-2.964890435,51.17554174
-2.997461818,53.53991682
-1.133535263,53.78145842
0.180688654,51.30261308
-1.476511786,53.38158964
-2.721124127,52.69181492
-0.590414,51.51127333
-1.770164118,52.42992706
,
0.075406735,52.17873912
-1.560549333,52.81683867
-2.491747143,51.51723571
-3.8211275,50.371211
-0.056348444,52.78769833
-0.509045,52.82448033
-2.868269556,54.28696022
1.24218025,52.52531278
-1.096785238,51.62908381
-2.702347391,53.71870696
-2.74356641,50.96162974
-2.1499288,52.6209392
-1.445952778,54.97043944
-0.075152857,51.47863286
-0.462122308,51.42547615
-0.3310155,51.765653
-2.71749,53.45336188
-2.125096957,52.83148522
-2.03942963,53.06302481
-2.151341429,53.39695
-1.320573077,54.56860115
-2.161292432,53.01391568
-1.670151111,52.19564722
-2.25996963,51.72697667
-1.4403468,54.89256
-0.703814375,51.33643125
-0.182143889,51.36583889
0.784295792,51.34816042
-1.7770175,51.568141
-2.083453684,53.47585105
-1.674144,52.623993
-0.052916,51.254289
-3.5995476,50.572854
-2.471916333,52.69905367
1.154778229,51.85050371
-1.498844583,51.10929375
-2.120159545,51.94183136
1.38707387,51.36311913
-0.441914615,51.65387615
-3.546572667,50.44673867
-4.226273913,50.93101826
-0.0369035,51.5167015
-2.335232857,53.42294667
0.33782035,51.1359195
0.276812682,51.931905
-1.367892917,51.65184167
-1.423139524,53.67485095
-1.981871,52.597662
-0.0111067,51.5887385
-0.181559,51.450528
-2.576386364,53.39542
-1.55431,52.29710318
-0.4002975,51.66860833
-0.663768276,51.17195103
0.201157886,50.95381343
-0.200578125,51.78173938
-1.234819,51.431591
-4.066528889,50.63420333
-2.8366696,53.5843112
-0.54471,53.3695725
-1.505832222,51.8172937
,
-0.1676595,51.514285
-2.5931396,53.5243464
-1.998737143,51.31575153
-1.25366,51.01889563
-0.673489565,51.48472783
-3.063325909,53.37840682
-0.558446,51.318723
-0.8868064,51.4283028
-2.120752,52.5883075
-0.393755385,50.82458
-2.045872187,52.15861813
-2.951526667,53.88841667
-2.269898333,52.37492583
-1.079285238,53.95707429
