,Temp,Humi,Wind,UV,totalarrival,nationalarrival
Sutton,0.026885645,0.032576874,-0.080445496,0.086713892,0.049110722,-0.072559617
Swale,-0.75566209,0.130440616,0.382780008,-1.644028176,0.470804401,-1.913358548
Tameside,-0.006906558,-0.595913869,0.049365701,-0.146380372,0.492689792,-2.129385672
Tandridge,0.081786592,-0.064693326,0.044369884,0.073797409,0.533210349,-1.88351182
Teignbridge,0.086879666,-0.089048106,0.052584603,0.004348964,-1.303881129,0.393485204
Thanet,0.170159943,0.080974978,0.241758193,0.569996317,0.382894967,-2.901202566
Three Rivers,0.042575102,-0.007253328,-0.121403355,0.074301872,0.285572325,-1.463826169
Torridge,0.039038213,-0.352575218,0.045498212,0.013158854,-0.479548624,0.260344004
Tower Hamlets,0.146608889,0.05407372,0.17497383,0.014773292,0.328865967,-4.644372621
Trafford,0.090411868,0.203261666,-0.033958869,-0.144032583,0.464824001,-7.824366826
Tunbridge Wells,-0.049634818,0.237716929,0.039809908,-0.070942872,0.068167705,-0.178692253
Uttlesford,0.137212337,-0.007535218,-0.033639451,0.167925434,-0.392142823,0.004976155
Walsall,0.149051931,0.246976465,0.127817232,-0.161166023,0.419393045,-1.585474307
Waltham Forest,-0.001933827,-0.078412871,0.146276083,0.050986471,0.586367602,-20.3828052
Wandsworth,0.118558064,-0.015593323,0.052203597,-0.099605759,0.415828764,-2.768857674
Warrington,0.050858179,-0.067009693,-0.032332869,-0.003419834,0.323082999,-1.089905271
Warwick,-0.213628815,-0.113402326,0.054845678,0.066974605,0.081164629,-1.143652597
Watford,-0.087861351,-0.017096561,0.105813112,0.027739716,0.485548128,-4.169963844
Waverley,-0.470014375,0.32565077,-0.5051132,0.121231329,0.15615244,-0.30757231
Wealden,-0.030994511,-2.085497161,-0.039581688,-0.086035858,0.436289076,-2.482420384
Welwyn Hatfield,0.04883054,-0.120534743,0.090628937,0.190817648,-0.09862069,-0.330815385
West Berkshire,0.023187097,-0.023557245,-0.010740698,0.087989258,0.151699323,-0.250362165
West Lindsey,0.118652473,0.065057077,-0.404574504,0.222301754,0.275997965,-0.353792173
Westminster,-0.459479148,-0.029004288,-0.269927481,-0.116896068,0.482741697,-10.04532252
Wigan,0.042327771,0.486105268,-0.025232112,0.02912032,0.370163589,-2.202106935
Wiltshire,0.187363505,-0.392360784,0.297696312,0.447139834,0.645549139,-4.9534805
Winchester,-0.067690233,0.342088196,0.055859552,-0.903189866,-0.172591882,-0.494846508
Wirral,0.018630988,0.065196746,-0.041484889,0.058898287,0.552276723,-4.255349994
Woking,-0.067835411,-0.134892752,-0.065380186,0.115995563,0.356265072,-0.585187964
Wokingham,0.069587285,0.015836072,0.093695757,0.033376362,0.431562108,-4.313100558
Wolverhampton,-2.14047169,0.224478025,-0.58836105,-1.407143683,0.461003442,-1.264267979
Worthing,0.047199694,0.017752605,0.045061254,-0.005547423,-0.164074037,-0.336034607
Wyre Forest,-0.564941488,0.3933544,-0.114987665,0.04292005,0.05117031,-0.129335138
